#TITLE,KEY,VALUE,SWMH
e_abyssinia,e_abyssinia,Abessinien,Abyssinia
e_abyssinia,e_abyssinia_adj,Abessinisch,Abyssinian
k_adal,k_adal,Adal,Adal
k_adal,k_adal_adj,Adalisch,Adali
d_berbera,d_berbera,Berbera,Berbera
d_berbera,d_berbera_adj,Berberisch,Berberi
c_busaso,PROV871,Bosaso,Busaso
c_busaso,c_busaso_adj,Bosasisch,Busasonian
b_mosylon,b_mosylon,Mosylon,Mosylon
b_mosylon,b_mosylon_adj,Mosylonisch,
b_bandaraassim,b_bandaraassim,Bandar Qassim,Bandar Qassim
b_bandaraassim,b_bandaraassim_adj,Qassimisch,
b_lasanod,b_lasanod,Lasanod,Las Anod
b_lasanod,b_lasanod_adj,Lasanodisch,
c_berbera,PROV872,Berbera,Berbera
c_berbera,c_berbera_adj,Berberisch,Berberan
b_berbera,b_berbera,Berbera,Berbera
b_berbera,b_berbera_adj,Berberisch,
b_maydh,b_maydh,Maydh,Maydh
b_maydh,b_maydh_adj,Maydhisch,
b_amud,b_amud,Amud,Amud
b_amud,b_amud_adj,Amudisch,
b_gabiley,b_gabiley,Gabiley,Gabiley
b_gabiley,b_gabiley_adj,Gabileisch,
d_ifat,d_ifat,Ifat,Ifat
d_ifat,d_ifat_adj,Ifatisch,Ifati
c_harer,PROV873,Adal,Adal
c_harer,c_harer_adj,Hareisch,Harerian
b_harar,b_harar,Harar,Harar
b_harar,b_harar_adj,Haraisch,
b_hargeysa,b_hargeysa,Hargeysa,Hargeysa
b_hargeysa,b_hargeysa_adj,Hargeisch,
b_diridawa,b_diridawa,Dire Dawa,Diri Dawa
b_diridawa,b_diridawa_adj,Dirisch,
b_jijiga,b_jijiga,Djidjiga,Jijiga
b_jijiga,b_jijiga_adj,Djidjigisch,
c_ifat,PROV1516,Ifat,Ifat
c_ifat,c_ifat_adj,Ifatisch,Ifati
b_ifat,b_ifat,Ifat,Ifat
b_ifat,b_ifat_adj,Ifatisch,
b_hayk,b_hayk,Hayk,Hayk
b_hayk,b_hayk_adj,Haykisch,
b_gidim,b_gidim,Gidim,Gidim
b_gidim,b_gidim_adj,Gidimisch,
b_bati,b_bati,Bati,Bati
b_bati,b_bati_adj,Batisch,
d_tedjoura,d_tedjoura,Tadjura,Tadjoura
d_tedjoura,d_tedjoura_adj,Tadjurisch,Tadjouri
c_tadjoura,PROV874,Tadjura,Tadjoura
c_tadjoura,c_tadjoura_adj,Tadjurisch,Tadjouran
b_tadjoura,b_tadjoura,Tadjura,Tadjoura
b_tadjoura,b_tadjoura_adj,Tadjurisch,
b_obock,b_obock,Ubuk,Obock
b_obock,b_obock_adj,Ubukisch,
b_randa,b_randa,Randa,Randa
b_randa,b_randa_adj,Randisch,
