#TITLE,KEY,VALUE,SWMH
k_egypt,k_egypt,,Misr
k_egypt,k_egypt_adj,,Misri
k_egypt,coptic,,Khemi
k_egypt,greek,,Aigyptos
k_egypt,k_egypt_adj_greek,,Aigyptian
k_egypt,roman,,Aegyptus
d_alexandria,d_alexandria,,Iskandariya
d_alexandria,d_alexandria_adj,,Iskandariyi
d_alexandria,coptic,,Rakote
d_alexandria,greek,,Aigyptos
d_alexandria,d_alexandria_adj_greek,,Aigyptian
d_alexandria,roman,,Aegyptus
c_alexandria,PROV802,,Iskandarîya
c_alexandria,c_alexandria_adj,,Iskandarîyî
c_alexandria,coptic,,Rakote
c_alexandria,greek,,Alexandreia
b_alexandria,b_alexandria,,Alexandria
b_alexandria,b_alexandria_adj,,
b_alexandria,greek,,Alexandreia
b_abukir,b_abukir,,Abukir
b_abukir,b_abukir_adj,,
b_abukir,greek,,Kanopos
b_abukir,roman,,Canopus
b_hammam,b_hammam,,Hammám
b_hammam,b_hammam_adj,,
b_marabout,b_marabout,,Marabout
b_marabout,b_marabout_adj,,
b_dukhayla,b_dukhayla,,Dukhayla
b_dukhayla,b_dukhayla_adj,,
c_al_alamayn,PROV804,,Sullum
c_al_alamayn,c_al_alamayn_adj,,Sullumî
c_al_alamayn,greek,,Paraitonion
c_al_alamayn,c_al_alamayn_adj_greek,,Paraitonian
c_al_alamayn,roman,,Paraetonium
b_sollum,b_sollum,,Sullum
b_sollum,b_sollum_adj,,
b_sollum,greek,,Katabathmos Megas
b_sollum,roman,,Catabathmus Maior
b_mersamatruh,b_mersamatruh,,Matruh
b_mersamatruh,b_mersamatruh_adj,,
b_mersamatruh,greek,,Paraitonion
b_mersamatruh,roman,,Paraetonium
c_quattara,PROV803,,Sîwa
c_quattara,c_quattara_adj,,Sîwî
c_quattara,greek,,Ammonion
c_quattara,c_quattara_adj_greek,,Ammonian
c_quattara,roman,,Ammonium
b_siwa,b_siwa,,Siwa
b_siwa,b_siwa_adj,,
b_siwa,greek,,Ammonion
b_siwa,roman,,Ammonium
b_santariya,b_santariya,,Santaríya
b_santariya,b_santariya_adj,,
b_santariya,greek,,Klimax
b_santariya,roman,,Klimax
b_quattara,b_quattara,,Quattara
b_quattara,b_quattara_adj,,
d_damietta,d_damietta,,Dumiyát
d_damietta,d_damietta_adj,,Dumiyátí
d_damietta,greek,,Augustamnike
d_damietta,d_damietta_adj_greek,,Augustamnikan
d_damietta,roman,,Augustamnica
c_gabiyaha,PROV799,,Nastarâwa
c_gabiyaha,c_gabiyaha_adj,,Nastaráwî
c_gabiyaha,central_italian,,Rosetta
c_gabiyaha,c_gabiyaha_adj_central_italian,,Rosettan
c_gabiyaha,coptic,,Rashit
c_gabiyaha,corsican,,Rosetta
c_gabiyaha,c_gabiyaha_adj_corsican,,Rosettan
c_gabiyaha,dalmatian,,Rosetta
c_gabiyaha,c_gabiyaha_adj_dalmatian,,Rosettan
c_gabiyaha,frankish,,Rosette
c_gabiyaha,c_gabiyaha_adj_frankish,,Rosettan
c_gabiyaha,greek,,Bolbitinon
c_gabiyaha,c_gabiyaha_adj_greek,,Bolbitinan
c_gabiyaha,italian,,Rosetta
c_gabiyaha,c_gabiyaha_adj_italian,,Rosettan
c_gabiyaha,ligurian,,Rosetta
c_gabiyaha,c_gabiyaha_adj_ligurian,,Rosettan
c_gabiyaha,neapolitan,,Rosetta
c_gabiyaha,c_gabiyaha_adj_neapolitan,,Rosettan
c_gabiyaha,norman,,Rosette
c_gabiyaha,c_gabiyaha_adj_norman,,Rosettan
c_gabiyaha,roman,,Bolbitinum
c_gabiyaha,sardinian,,Rosetta
c_gabiyaha,c_gabiyaha_adj_sardinian,,Rosettan
c_gabiyaha,sicilian,,Rosetta
c_gabiyaha,c_gabiyaha_adj_sicilian,,Rosettan
c_gabiyaha,southern_italian,,Rosetta
c_gabiyaha,c_gabiyaha_adj_southern_italian,,Rosettan
c_gabiyaha,tuscan,,Rosetta
c_gabiyaha,c_gabiyaha_adj_tuscan,,Rosettan
c_gabiyaha,venetian,,Rosetta
c_gabiyaha,c_gabiyaha_adj_venetian,,Rosettan
b_nastarawa,b_nastarawa,,Nastaráwa
b_nastarawa,b_nastarawa_adj,,
b_burullus,b_burullus,,Burullus
b_burullus,b_burullus_adj,,
b_burullus,greek,,Paralos
b_burullus,roman,,Paralos
b_fuwa,b_fuwa,,Fuwa
b_fuwa,b_fuwa_adj,,
b_fuwa,coptic,,Melej
b_fuwa,greek,,Paua
b_fuwa,roman,,Paua
b_tida,b_tida,,Tida
b_tida,b_tida_adj,,
b_rashid,b_rashid,,Rashíd
b_rashid,b_rashid_adj,,
b_rashid,central_italian,,Rosetta
b_rashid,coptic,,Rashit
b_rashid,corsican,,Rosetta
b_rashid,dalmatian,,Rosetta
b_rashid,frankish,,Rosette
b_rashid,greek,,Bolbitinon
b_rashid,italian,,Rosetta
b_rashid,ligurian,,Rosetta
b_rashid,neapolitan,,Rosetta
b_rashid,norman,,Rosette
b_rashid,roman,,Bolbitinum
b_rashid,sardinian,,Rosetta
b_rashid,sicilian,,Rosetta
b_rashid,southern_italian,,Rosetta
b_rashid,tuscan,,Rosetta
b_rashid,venetian,,Rosetta
b_alshirak,b_alshirak,,al Shirák
b_alshirak,b_alshirak_adj,,
c_delta,PROV798,,Dimyât
c_delta,c_delta_adj,,Dimyátî
c_delta,coptic,,Tamiati
c_delta,greek,,Tamiathis
c_delta,c_delta_adj_greek,,Tamiathian
c_delta,roman,,Tamiathis
b_damietta,b_damietta,,Dumiyát
b_damietta,b_damietta_adj,,
b_damietta,coptic,,Tamiati
b_damietta,greek,,Tamiathis
b_damietta,roman,,Tamiathis
b_mansura,b_mansura,,Mansura
b_mansura,b_mansura_adj,,
b_mansura,coptic,,Paramoni
b_shata,b_shata,,Shata
b_shata,b_shata_adj,,
b_daqahla,b_daqahla,,Daqahla
b_daqahla,b_daqahla_adj,,
c_pelusia,PROV789,,Ushmún Tannâh
c_pelusia,c_pelusia_adj,,Ushmún Tannáhî
c_pelusia,greek,,Thennesos
c_pelusia,c_pelusia_adj_greek,,Thennesian
c_pelusia,roman,,Thennisus
b_ushmuntan,b_ushmuntan,,Ushmúm Tannáh
b_ushmuntan,b_ushmuntan_adj,,
b_ushmuntan,coptic,,Schmoun Erman
b_ushmuntan,greek,,Schmoun Erman
b_ushmuntan,roman,,Schmoun Erman
b_tinis,b_tinis,,Tinnís
b_tinis,b_tinis_adj,,
b_tinis,greek,,Thennesos
b_tinis,roman,,Thennisus
b_faqus,b_faqus,,Fáqús
b_faqus,b_faqus_adj,,
b_faqus,greek,,Phakoussai
b_faqus,roman,,Phakoussae
c_bilbays,PROV1331,,Bilbays
c_bilbays,c_bilbays_adj,,Bilbaysî
c_bilbays,coptic,,Phelbs
c_bilbays,greek,,Bilbeis
c_bilbays,c_bilbays_adj_greek,,Bilbeisi
c_bilbays,roman,,Bilbeis
b_bilbays,b_bilbays,,Bilbays
b_bilbays,b_bilbays_adj,,
b_bilbays,coptic,,Phelbs
b_bilbays,greek,,Bilbeis
b_bilbays,roman,,Bilbeis
b_basta,b_basta,,Basta
b_basta,b_basta_adj,,
b_basta,greek,,Boubastos
b_basta,roman,,Bubastos
b_san_bilbays,b_san_bilbays,,Sán
b_san_bilbays,b_san_bilbays_adj,,
b_san_bilbays,greek,,Tanis
b_san_bilbays,roman,,Tanis
