#TITLE,KEY,VALUE,SWMH
e_mali,e_mali,,Mali
e_mali,e_mali_adj,,Malian
k_ghana,k_ghana,,Wagadu
k_ghana,k_ghana_adj,,Wagadian
d_ghana,d_ghana,,Wagadu
d_ghana,d_ghana_adj,,Wagadian
c_ghana,PROV913,,Wagadu
c_ghana,c_ghana_adj,,Hodhî
b_el_ghaba,b_el_ghaba,,El Ghaba
b_el_ghaba,b_el_ghaba_adj,,
b_koumbi_saleh,b_koumbi_saleh,,Koumbi Saleh
b_koumbi_saleh,b_koumbi_saleh_adj,,
b_ghanata,b_ghanata,,Ghanata
b_ghanata,b_ghanata_adj,,
b_goumbou,b_goumbou,,Goumbou
b_goumbou,b_goumbou_adj,,
b_kusata,b_kusata,,Kusata
b_kusata,b_kusata_adj,,
b_nema,b_nema,,Nema
b_nema,b_nema_adj,,
b_daligumbe,b_daligumbe,,Dali Gumbe
b_daligumbe,b_daligumbe_adj,,
c_kingui,PROV1374,,Kingui
c_kingui,c_kingui_adj,,Kinguî
b_saindemba,b_saindemba,,Sain Demba
b_saindemba,b_saindemba_adj,,
b_kingui,b_kingui,,Kingui
b_kingui,b_kingui_adj,,
b_nioro,b_nioro,,Nioro
b_nioro,b_nioro_adj,,
b_diara,b_diara,,Diara
b_diara,b_diara_adj,,
c_soso,PROV1375,,Soso
c_soso,c_soso_adj,,Sosso
b_kirina,b_kirina,,Kirina
b_kirina,b_kirina_adj,,
b_soso,b_soso,,Soso
b_soso,b_soso_adj,,
b_beledugu,b_beledugu,,Beledugu
b_beledugu,b_beledugu_adj,,
d_mema,d_mema,,Mema
d_mema,d_mema_adj,,Meman
c_mema,PROV1377,,Mema
c_mema,c_mema_adj,,Meman
b_mema,b_mema,,Mema
b_mema,b_mema_adj,,
b_pehe,b_pehe,,Pehe
b_pehe,b_pehe_adj,,
b_kolima,b_kolima,,Kolima
b_kolima,b_kolima_adj,,
b_toladie,b_toladie,,Toladie
b_toladie,b_toladie_adj,,
b_akumbu,b_akumbu,,Akumbu
b_akumbu,b_akumbu_adj,,
b_nampala,b_nampala,,Nampala
b_nampala,b_nampala_adj,,
c_massina,PROV1378,,Massina
c_massina,c_massina_adj,,Massinî
b_macina,b_macina,,Massina
b_macina,b_macina_adj,,
b_dia,b_dia,,Dia
b_dia,b_dia_adj,,
b_kabora,b_kabora,,Kabora
b_kabora,b_kabora_adj,,
c_djenne,PROV915,,Djenné
c_djenne,c_djenne_adj,,Djenne
b_dioboro,b_dioboro,,Dioboro
b_dioboro,b_dioboro_adj,,
b_djenne,b_djenne,,Djenne
b_djenne,b_djenne_adj,,
b_algasba,b_algasba,,Al Gasba
b_algasba,b_algasba_adj,,
b_kaniana,b_kaniana,,Kaniana
b_kaniana,b_kaniana_adj,,
b_hambarketolo,b_hambarketolo,,Hambarketolo
b_hambarketolo,b_hambarketolo_adj,,
b_bandiagara,b_bandiagara,,Bandiagara
b_bandiagara,b_bandiagara_adj,,
d_tagant,d_tagant,,Tagant
d_tagant,d_tagant_adj,,Taganti
c_tagant,PROV1369,,Tagant
c_tagant,c_tagant_adj,,Tagantî
b_tichitt,b_tichitt,,Tichitt
b_tichitt,b_tichitt_adj,,
c_masin,PROV1370,,Masin
c_masin,c_masin_adj,,Masinî
b_kedama,b_kedama,,Kedama
b_kedama,b_kedama_adj,,
c_aoudaghost,PROV912,,Awdaghust
c_aoudaghost,c_aoudaghost_adj,,Awdaghustî
b_kiffa,b_kiffa,,Kiffa
b_kiffa,b_kiffa_adj,,
b_aoudaghost,b_aoudaghost,,Awdaghust
b_aoudaghost,b_aoudaghost_adj,,
b_moudjeria,b_moudjeria,,Moudjeria
b_moudjeria,b_moudjeria_adj,,
b_tamchakett,b_tamchakett,,Tamchakett
b_tamchakett,b_tamchakett_adj,,
d_oualata,d_oualata,,Walata
d_oualata,d_oualata_adj,,Walatan
c_oualata,PROV919,,Walata
c_oualata,c_oualata_adj,,Walatî
b_oualata,b_oualata,,Walata
b_oualata,b_oualata_adj,,
b_biru,b_biru,,Bíru
b_biru,b_biru_adj,,
c_awkar,PROV1376,,Awgham
c_awkar,c_awkar_adj,,Awkarî
b_awkar,b_awkar,,Awkar
b_awkar,b_awkar_adj,,
k_mali,k_mali,,Mali
k_mali,k_mali_adj,,Malinese
d_mali,d_mali,,Mali
d_mali,d_mali_adj,,Malinese
c_mali,PROV925,,Manding
c_mali,c_mali_adj,,Malian
b_niani,b_niani,,Niani
b_niani,b_niani_adj,,
b_kangaba,b_kangaba,,Kangaba
b_kangaba,b_kangaba_adj,,
b_malikura,b_malikura,,Malikura
b_malikura,b_malikura_adj,,
b_keyla,b_keyla,,Keyla
b_keyla,b_keyla_adj,,
b_odiene,b_odiene,,Odiene
b_odiene,b_odiene_adj,,
b_kangare,b_kangare,,Kangare
b_kangare,b_kangare_adj,,
c_bure,PROV1384,,Bure
c_bure,c_bure_adj,,Burî
b_boure,b_boure,,Bure
b_boure,b_boure_adj,,
b_siguiri,b_siguiri,,Siguiri
b_siguiri,b_siguiri_adj,,
b_kouroussa,b_kouroussa,,Kouroussa
b_kouroussa,b_kouroussa_adj,,
b_kankan,b_kankan,,Kankan
b_kankan,b_kankan_adj,,
c_kiri,PROV1386,,Kita
c_kiri,c_kiri_adj,,Kirî
b_kiri,b_kiri,,Kiri
b_kiri,b_kiri_adj,,
b_kita,b_kita,,Kita
b_kita,b_kita_adj,,
b_diakha,b_diakha,,Diakha
b_diakha,b_diakha_adj,,
b_tabon,b_tabon,,Tabon
b_tabon,b_tabon_adj,,
c_sibiridugu,PROV1387,,Sibiridugu
c_sibiridugu,c_sibiridugu_adj,,Sibiridugî
b_sibi,b_sibi,,Sibi
