#TITLE,KEY,VALUE,SWMH
d_aegean_islands,d_aegean_islands,,Aigaiou Pelàgous
d_aegean_islands,d_aegean_islands_adj,,Aigaían
d_aegean_islands,central_italian,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_central_italian,,Arcipelagan
d_aegean_islands,corsican,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_corsican,,Arcipelagan
d_aegean_islands,dalmatian,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_dalmatian,,Arcipelagan
d_aegean_islands,italian,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_italian,,Arcipelagan
d_aegean_islands,ligurian,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_ligurian,,Arcipelagan
d_aegean_islands,neapolitan,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_neapolitan,,Arcipelagan
d_aegean_islands,sardinian,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_sardinian,,Arcipelagan
d_aegean_islands,sicilian,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_sicilian,,Arcipelagan
d_aegean_islands,southern_italian,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_southern_italian,,Arcipelagan
d_aegean_islands,tuscan,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_tuscan,,Arcipelagan
d_aegean_islands,venetian,,dell'arcipelago
d_aegean_islands,d_aegean_islands_adj_venetian,,Arcipelagan
c_kyzikos,PROV743,,Kyzikos
c_kyzikos,c_kyzikos,,
c_kyzikos,c_kyzikos_adj,,Kyzikosian
c_kyzikos,oghuz,,Erdek
c_kyzikos,c_kyzikos_adj_oghuz,,Erdekian
c_kyzikos,pecheneg,,Erdek
c_kyzikos,turkish,,Erdek
c_kyzikos,c_kyzikos_adj_turkish,,Erdekian
c_kyzikos,turkmen,,Erdek
c_kyzikos,c_kyzikos_adj_turkmen,,Erdekian
b_pegai,b_pegai,,Pegai
b_pegai,b_pegai_adj,,
b_pegai,oghuz,,Biga
b_pegai,pecheneg,,Biga
b_pegai,turkish,,Biga
b_pegai,turkmen,,Biga
b_artake,b_artake,,Artake
b_artake,b_artake_adj,,
b_artake,oghuz,,Erdek
b_artake,pecheneg,,Erdek
b_artake,turkish,,Erdek
b_artake,turkmen,,Erdek
b_kyzikos,b_kyzikos,,Kyzikos
b_kyzikos,b_kyzikos_adj,,
b_kyzikos,oghuz,,Aydincik
b_kyzikos,pecheneg,,Aydincik
b_kyzikos,turkish,,Aydincik
b_kyzikos,turkmen,,Aydincik
b_panormos,b_panormos,,Panormos
b_panormos,b_panormos_adj,,
b_panormos,oghuz,,Bandirma
b_panormos,pecheneg,,Bandirma
b_panormos,turkish,,Bandirma
b_panormos,turkmen,,Bandirma
c_abydos,PROV744,,Troád
c_abydos,c_abydos,,
c_abydos,c_abydos_adj,,Abydosian
c_abydos,oghuz,,Canakkale
c_abydos,c_abydos_adj_oghuz,,Canakkalan
c_abydos,pecheneg,,Canakkale
c_abydos,turkish,,Canakkale
c_abydos,c_abydos_adj_turkish,,Canakkalan
c_abydos,turkmen,,Canakkale
c_abydos,c_abydos_adj_turkmen,,Canakkalan
b_abydos,b_abydos,,Abydos
b_abydos,b_abydos_adj,,
b_abydos,oghuz,,Canakkale
b_abydos,pecheneg,,Canakkale
b_abydos,turkish,,Canakkale
b_abydos,turkmen,,Canakkale
b_alexandriatroas,b_alexandriatroas,,Alexandria Troas
b_alexandriatroas,b_alexandriatroas_adj,,
b_alexandriatroas,oghuz,,Eski Stambul
b_alexandriatroas,pecheneg,,Eski Stambul
b_alexandriatroas,turkish,,Eski Stambul
b_alexandriatroas,turkmen,,Eski Stambul
b_lampsakos,b_lampsakos,,Lampsakos
b_lampsakos,b_lampsakos_adj,,
b_lampsakos,oghuz,,Lapseki
b_lampsakos,pecheneg,,Lapseki
b_lampsakos,turkish,,Lapseki
b_lampsakos,turkmen,,Lapseki
c_naxos,PROV484,,Kykládes
c_naxos,c_naxos,,
c_naxos,c_naxos_adj,,Kykladian
c_naxos,central_italian,,Nasso
c_naxos,c_naxos_adj_central_italian,,Nassian
c_naxos,corsican,,Nasso
c_naxos,c_naxos_adj_corsican,,Nassian
c_naxos,dalmatian,,Nasso
c_naxos,c_naxos_adj_dalmatian,,Nassian
c_naxos,italian,,Nasso
c_naxos,c_naxos_adj_italian,,Nassian
c_naxos,ligurian,,Nasso
c_naxos,c_naxos_adj_ligurian,,Nassian
c_naxos,neapolitan,,Nasso
c_naxos,c_naxos_adj_neapolitan,,Nassian
c_naxos,oghuz,,Kiklad
c_naxos,c_naxos_adj_oghuz,,Kikladian
c_naxos,pecheneg,,Kiklad
c_naxos,sardinian,,Nasso
c_naxos,c_naxos_adj_sardinian,,Nassian
c_naxos,sicilian,,Nasso
c_naxos,c_naxos_adj_sicilian,,Nassian
c_naxos,southern_italian,,Nasso
c_naxos,c_naxos_adj_southern_italian,,Nassian
c_naxos,turkish,,Kiklad
c_naxos,c_naxos_adj_turkish,,Kikladian
c_naxos,turkmen,,Kiklad
c_naxos,c_naxos_adj_turkmen,,Kikladian
c_naxos,tuscan,,Nasso
c_naxos,c_naxos_adj_tuscan,,Nassian
c_naxos,venetian,,Nasso
c_naxos,c_naxos_adj_venetian,,Nassian
b_naxos,b_naxos,,Apaliros
b_naxos,b_naxos_adj,,
b_naxos,central_italian,,Nasso
b_naxos,corsican,,Nasso
b_naxos,dalmatian,,Nasso
b_naxos,italian,,Nasso
b_naxos,ligurian,,Nasso
b_naxos,neapolitan,,Nasso
b_naxos,oghuz,,Naksa
b_naxos,pecheneg,,Naksa
b_naxos,sardinian,,Nasso
b_naxos,sicilian,,Nasso
b_naxos,southern_italian,,Nasso
b_naxos,turkish,,Naksa
b_naxos,turkmen,,Naksa
b_naxos,tuscan,,Nasso
b_naxos,venetian,,Nasso
b_paros,b_paros,,Paros
b_paros,b_paros_adj,,
b_paros,central_italian,,Pari
b_paros,corsican,,Pari
b_paros,dalmatian,,Pari
b_paros,italian,,Pari
b_paros,ligurian,,Pari
b_paros,neapolitan,,Pari
b_paros,sardinian,,Pari
b_paros,sicilian,,Pari
b_paros,southern_italian,,Pari
b_paros,tuscan,,Pari
b_paros,venetian,,Pari
b_thera,b_thera,,Thera
b_thera,b_thera_adj,,
b_thera,central_italian,,Santa Irene
b_thera,corsican,,Santa Irene
b_thera,dalmatian,,Santa Irene
b_thera,greek,,Thera
b_thera,italian,,Santa Irene
b_thera,ligurian,,Santa Irene
b_thera,neapolitan,,Santa Irene
b_thera,oghuz,,Santoron
b_thera,pecheneg,,Santoron
b_thera,sardinian,,Santa Irene
b_thera,sicilian,,Santa Irene
b_thera,southern_italian,,Santa Irene
b_thera,turkish,,Santoron
b_thera,turkmen,,Santoron
b_thera,tuscan,,Santa Irene
b_thera,venetian,,Santa Irene
b_andros,b_andros,,Andros
b_andros,b_andros_adj,,
b_andros,central_italian,,Andria
b_andros,corsican,,Andria
b_andros,dalmatian,,Andria
b_andros,frankish,,André
b_andros,italian,,Andria
b_andros,ligurian,,Andria
b_andros,neapolitan,,Andria
b_andros,sardinian,,Andria
b_andros,sicilian,,Andria
b_andros,southern_italian,,Andria
b_andros,tuscan,,Andria
b_andros,venetian,,Andria
c_chios,PROV486,,Chios
c_chios,c_chios,,
c_chios,c_chios_adj,,
c_chios,oghuz,,Sakiz
c_chios,c_chios_adj_oghuz,,Sakizan
c_chios,pecheneg,,Sakiz
c_chios,turkish,,Sakiz
c_chios,c_chios_adj_turkish,,Sakizan
c_chios,turkmen,,Sakiz
c_chios,c_chios_adj_turkmen,,Sakizan
b_kastrochios,b_kastrochios,,Kastro Chios
b_kastrochios,b_kastrochios_adj,,
b_kastrochios,oghuz,,Sakiz Hisar
b_kastrochios,pecheneg,,Sakiz Hisar
b_kastrochios,turkish,,Sakiz Hisar
b_kastrochios,turkmen,,Sakiz Hisar
b_chios,b_chios,,Chios
b_chios,b_chios_adj,,
b_chios,oghuz,,Sakiz
b_chios,pecheneg,,Sakiz
b_chios,turkish,,Sakiz
b_chios,turkmen,,Sakiz
b_samos,b_samos,,Samos
b_samos,b_samos_adj,,
b_samos,oghuz,,Sisam
b_samos,pecheneg,,Sisam
b_samos,turkish,,Sisam
b_samos,turkmen,,Sisam
c_lesbos,PROV487,,Nisia Aigaiou
c_lesbos,c_lesbos,,
c_lesbos,c_lesbos_adj,,Aigaian
c_lesbos,central_italian,,Lesbos
c_lesbos,c_lesbos_adj_central_italian,,Lesbian
c_lesbos,corsican,,Lesbos
c_lesbos,c_lesbos_adj_corsican,,Lesbian
c_lesbos,dalmatian,,Lesbos
c_lesbos,c_lesbos_adj_dalmatian,,Lesbian
c_lesbos,italian,,Lesbos
c_lesbos,c_lesbos_adj_italian,,Lesbian
c_lesbos,ligurian,,Lesbos
c_lesbos,c_lesbos_adj_ligurian,,Lesbian
c_lesbos,neapolitan,,Lesbos
c_lesbos,c_lesbos_adj_neapolitan,,Lesbian
c_lesbos,oghuz,,Midilli
c_lesbos,c_lesbos_adj_oghuz,,Midillian
c_lesbos,pecheneg,,Midilli
c_lesbos,sardinian,,Lesbos
c_lesbos,c_lesbos_adj_sardinian,,Lesbian
c_lesbos,sicilian,,Lesbos
c_lesbos,c_lesbos_adj_sicilian,,Lesbian
c_lesbos,southern_italian,,Lesbos
c_lesbos,c_lesbos_adj_southern_italian,,Lesbian
c_lesbos,turkish,,Midilli
c_lesbos,c_lesbos_adj_turkish,,Midillian
c_lesbos,turkmen,,Midilli
c_lesbos,c_lesbos_adj_turkmen,,Midillian
c_lesbos,tuscan,,Lesbos
c_lesbos,c_lesbos_adj_tuscan,,Lesbian
c_lesbos,venetian,,Lesbos
c_lesbos,c_lesbos_adj_venetian,,Lesbian
b_mytilene,b_mytilene,,Mytilene
b_mytilene,b_mytilene_adj,,
b_mytilene,oghuz,,Midilli
b_mytilene,pecheneg,,Midilli
b_mytilene,turkish,,Midilli
b_mytilene,turkmen,,Midilli
b_mithymna,b_mithymna,,Mithymna
b_mithymna,b_mithymna_adj,,
b_mithymna,oghuz,,Molivo
b_mithymna,pecheneg,,Molivo
b_mithymna,turkish,,Molivo
b_mithymna,turkmen,,Molivo
b_eresos,b_eresos,,Eressos
b_eresos,b_eresos_adj,,
b_hephaistia,b_hephaistia,,Hephaisteia
b_hephaistia,b_hephaistia_adj,,
k_nikaea,k_nikaea,,Nikaia
k_nikaea,k_nikaea_adj,,Nikaian
k_nikaea,name_tier,,emperor
d_paphlagonia,d_paphlagonia,,Paphlagonias
d_paphlagonia,d_paphlagonia_adj,,Paphlagonian
d_paphlagonia,central_italian,,Paphlagonia
d_paphlagonia,corsican,,Paphlagonia
