#TITLE,KEY,VALUE,SWMH
e_russia,e_russia,,Rus
e_russia,e_russia_adj,,Rus
e_russia,e_russia_adj_alan,,Rhosian
e_russia,anglonorse,,Garðaríki
e_russia,e_russia_adj_anglonorse,,Garðaríkir
e_russia,e_russia_adj_arberian,,Rhosian
e_russia,e_russia_adj_armenian,,Rhosian
e_russia,danish,,Garðaríki
e_russia,e_russia_adj_danish,,Garðaríkir
e_russia,e_russia_adj_georgian,,Rhosian
e_russia,gothic,,Garðaríki
e_russia,e_russia_adj_gothic,,Garðaríkir
e_russia,e_russia_adj_greek,,Rhosian
e_russia,e_russia_adj_icelandic,,Garðaríkir
e_russia,norse,,Garðaríki
e_russia,e_russia_adj_norse,,Garðaríkir
e_russia,norsegaelic,,Garðaríki
e_russia,norwegian,,Garðaríki
e_russia,e_russia_adj_norwegian,,Garðaríkir
e_russia,swedish,,Garðaríki
e_russia,e_russia_adj_swedish,,Garðaríkir
k_vladimir,k_vladimir,,Vladimir
k_vladimir,k_vladimir_adj,,Vladimir
d_vladimir,d_vladimir,,Suzdal
d_vladimir,d_vladimir_adj,,Suzdal
d_vladimir,anglonorse,,Súrsdalar
d_vladimir,danish,,Súrsdalar
d_vladimir,gothic,,Súrsdalar
d_vladimir,norse,,Súrsdalar
d_vladimir,norsegaelic,,Súrsdalar
d_vladimir,norwegian,,Súrsdalar
d_vladimir,swedish,,Súrsdalar
c_suzdal,PROV583,,Suzdal
c_suzdal,c_suzdal,,
c_suzdal,c_suzdal_adj,,Suzdal
c_suzdal,anglonorse,,Súrsdalar
c_suzdal,danish,,Súrsdalar
c_suzdal,gothic,,Súrsdalar
c_suzdal,norse,,Súrsdalar
c_suzdal,norsegaelic,,Súrsdalar
c_suzdal,norwegian,,Súrsdalar
c_suzdal,swedish,,Súrsdalar
b_suzdal,b_suzdal,,Suzdal
b_suzdal,b_suzdal_adj,,
b_suzdal,anglonorse,,Súrsdalar
b_suzdal,danish,,Súrsdalar
b_suzdal,gothic,,Súrsdalar
b_suzdal,norse,,Súrsdalar
b_suzdal,norsegaelic,,Súrsdalar
b_suzdal,norwegian,,Súrsdalar
b_suzdal,swedish,,Súrsdalar
b_shuya,b_shuya,,Suja
b_shuya,b_shuya_adj,,
b_kidksa,b_kidksa,,Kideksa
b_kidksa,b_kidksa_adj,,
b_suzstarodub,b_suzstarodub,,Starodub
b_suzstarodub,b_suzstarodub_adj,,
b_gorokhovets,b_gorokhovets,,Gorohovec
b_gorokhovets,b_gorokhovets_adj,,
c_vladimir,PROV582,,Vladimir
c_vladimir,c_vladimir,,
c_vladimir,c_vladimir_adj,,Vladimir
b_bogolyubovo,b_bogolyubovo,,Bogoljubovo
b_bogolyubovo,b_bogolyubovo_adj,,
b_sergiyevposad,b_sergiyevposad,,Troice-Sergieva
b_sergiyevposad,b_sergiyevposad_adj,,
b_radonezh,b_radonezh,,Radonez
b_radonezh,b_radonezh_adj,,
b_pokrov,b_pokrov,,Pokrov
b_pokrov,b_pokrov_adj,,
b_yurevpolskiy,b_yurevpolskiy,,Jur'ev-Pol'skij
b_yurevpolskiy,b_yurevpolskiy_adj,,
b_vladimir,b_vladimir,,Vladimir
b_vladimir,b_vladimir_adj,,
c_pereyaslavl_zalessky,PROV573,,Perejaslavl'-Zalesskij
c_pereyaslavl_zalessky,c_pereyaslavl_zalessky,,
c_pereyaslavl_zalessky,c_pereyaslavl_zalessky_adj,,Perejaslavl
b_pereyaslavlzalessky,b_pereyaslavlzalessky,,Perejaslvl'-Zalesskij
b_pereyaslavlzalessky,b_pereyaslavlzalessky_adj,,
b_yaroslavka,b_yaroslavka,,Jaroslavka
b_yaroslavka,b_yaroslavka_adj,,
b_rybinsk,b_rybinsk,,Rybansk
b_rybinsk,b_rybinsk_adj,,
b_nikitskij,b_nikitskij,,Nikitskij Monastery
b_nikitskij,b_nikitskij_adj,,
b_nikitskij,short_name,,yes
d_nizhny_novgorod,d_nizhny_novgorod,,Nizovye
d_nizhny_novgorod,d_nizhny_novgorod_adj,,Nizovye
c_nizhny_novgorod,PROV584,,Nizhny Novgorod
c_nizhny_novgorod,c_nizhny_novgorod,,
c_nizhny_novgorod,c_nizhny_novgorod_adj,,Nizhny Novgorod
c_nizhny_novgorod,c_nizhny_novgorod_adj_altaic,,Obran Osh
c_nizhny_novgorod,c_nizhny_novgorod_adj_finno_ugric,,Obran Osh
b_nizhnynovgorod,b_nizhnynovgorod,,Nizhny Novgorod
b_nizhnynovgorod,b_nizhnynovgorod_adj,,
b_kstovo,b_kstovo,,Kstovo
b_kstovo,b_kstovo_adj,,
b_gorbatovo,b_gorbatovo,,Mesecersk
b_gorbatovo,b_gorbatovo_adj,,
b_bogorodsk,b_bogorodsk,,Bogorodichnoye
b_bogorodsk,b_bogorodsk_adj,,
b_knyaginino,b_knyaginino,,Knyaginin
b_knyaginino,b_knyaginino_adj,,
c_gorodez,PROV585,,Gorodets-Radilov
c_gorodez,c_gorodez,,
c_gorodez,c_gorodez_adj,,Radilov
b_gorodez,b_gorodez,,Gorodec-Radilov
b_gorodez,b_gorodez_adj,,
b_chalovsk,b_chalovsk,,Vasilyeva
b_chalovsk,b_chalovsk_adj,,
b_yurevets,b_yurevets,,Nizhny Jur'ev-Pol'skij
b_yurevets,b_yurevets_adj,,
b_puchishche,b_puchishche,,Puchishche
b_puchishche,b_puchishche_adj,,
d_ustyg,d_ustyg,,Ustjug
d_ustyg,d_ustyg_adj,,Ustjug
c_veliky_ustug,PROV402,,Veliky Ustjug
c_veliky_ustug,c_veliky_ustug,,
c_veliky_ustug,c_veliky_ustug_adj,,Veliky Ustjug
b_velikyustug,b_velikyustug,,Ustjug
b_velikyustug,b_velikyustug_adj,,
b_gledenustyg,b_gledenustyg,,Gleden
b_gledenustyg,b_gledenustyg_adj,,
b_troitsegledenskymonastery,b_troitsegledenskymonastery,,Troitse-Gledensky
b_troitsegledenskymonastery,b_troitsegledenskymonastery_adj,,
b_dymkovskaya,b_dymkovskaya,,Dymkovskaya
b_dymkovskaya,b_dymkovskaya_adj,,
c_galich_mersky,PROV586,,Galich Mersky
c_galich_mersky,c_galich_mersky,,
c_galich_mersky,c_galich_mersky_adj,,Galich Merskiy
b_buy,b_buy,,Vui
b_buy,b_buy_adj,,
b_gradmersky,b_gradmersky,,Grad Mersky
b_gradmersky,b_gradmersky_adj,,
b_chukholma,b_chukholma,,Chukholma
b_chukholma,b_chukholma_adj,,
d_tver,d_tver,,Tver
d_tver,d_tver_adj,,Tver
c_tver,PROV570,,Tver
c_tver,c_tver,,
c_tver,c_tver_adj,,Tver
b_dubna,b_dubna,,Dubna
b_dubna,b_dubna_adj,,
b_tvergorodok,b_tvergorodok,,Gorodok
b_tvergorodok,b_tvergorodok_adj,,
b_sesatver,b_sesatver,,Sesa
b_sesatver,b_sesatver_adj,,
b_starica,b_starica,,Starica
b_starica,b_starica_adj,,
b_tver,b_tver,,Tver
b_tver,b_tver_adj,,
c_volokolamsk,PROV1272,,Volokolamsk
c_volokolamsk,c_volokolamsk,,
c_volokolamsk,c_volokolamsk_adj,,Volok Lamskij
b_zubtsov,b_zubtsov,,Zubcov
b_zubtsov,b_zubtsov_adj,,
b_dorogobuz,b_dorogobuz,,Dorogobuz
b_dorogobuz,b_dorogobuz_adj,,
b_horvactver,b_horvactver,,Horvac
b_horvactver,b_horvactver_adj,,
b_volokolamsk,b_volokolamsk,,Volok Lamskij
b_volokolamsk,b_volokolamsk_adj,,
c_uglich,PROV571,,Uglich
c_uglich,c_uglich,,
c_uglich,c_uglich_adj,,Uglich
b_uglich,b_uglich,,Ugliche Pole
b_uglich,b_uglich_adj,,
b_makaryevskymonasterytver,b_makaryevskymonasterytver,,Makaryevsky
b_makaryevskymonasterytver,b_makaryevskymonasterytver_adj,,
b_kashin,b_kashin,,Kasin
b_kashin,b_kashin_adj,,
b_kalyazin,b_kalyazin,,Ksnjatin
b_kalyazin,b_kalyazin_adj,,
d_rostov,d_rostov,,Rostov
d_rostov,d_rostov_adj,,Rostov
d_rostov,anglonorse,,Ráðstofa
d_rostov,danish,,Ráðstofa
d_rostov,gothic,,Ráðstofa
d_rostov,norse,,Ráðstofa
d_rostov,norsegaelic,,Ráðstofa
d_rostov,norwegian,,Ráðstofa
d_rostov,swedish,,Ráðstofa
c_rostov,PROV574,,Rostov
c_rostov,c_rostov,,
c_rostov,c_rostov_adj,,Rostov
c_rostov,anglonorse,,Ráðstofa
c_rostov,danish,,Ráðstofa
c_rostov,gothic,,Ráðstofa
c_rostov,norse,,Ráðstofa
c_rostov,norsegaelic,,Ráðstofa
c_rostov,norwegian,,Ráðstofa
c_rostov,swedish,,Ráðstofa
b_sarskoyegorodishche,b_sarskoyegorodishche,,Sarskoye Gorodishche
b_sarskoyegorodishche,b_sarskoyegorodishche_adj,,
b_rostov,b_rostov,,Rostov
b_rostov,b_rostov_adj,,
b_rostov,anglonorse,,Ráðstofa
b_rostov,danish,,Ráðstofa
b_rostov,gothic,,Ráðstofa
b_rostov,norse,,Ráðstofa
b_rostov,norsegaelic,,Ráðstofa
b_rostov,norwegian,,Ráðstofa
b_rostov,swedish,,Ráðstofa
b_spasoyakovlevsky,b_spasoyakovlevsky,,Svjatoslvle Pole
b_spasoyakovlevsky,b_spasoyakovlevsky_adj,,
b_petrovskoye,b_petrovskoye,,Petrovsk
b_petrovskoye,b_petrovskoye_adj,,
b_nerekhta,b_nerekhta,,Neretha
b_nerekhta,b_nerekhta_adj,,
c_kostroma,PROV407,,Kostroma
c_kostroma,c_kostroma,,
c_kostroma,c_kostroma_adj,,Kostroma
b_kostroma,b_kostroma,,Kostroma
b_kostroma,b_kostroma_adj,,
b_sudislavl,b_sudislavl,,Sudislav
b_sudislavl,b_sudislavl_adj,,
b_soligalich,b_soligalich,,Sol'-Galickaja
b_soligalich,b_soligalich_adj,,
c_yaroslavl,PROV572,,Yaroslavl
c_yaroslavl,c_yaroslavl,,
c_yaroslavl,c_yaroslavl_adj,,Yaroslavl
c_yaroslavl,c_yaroslavl_adj_finno_ugric,,Meryan
b_timerevo,b_timerevo,,Timerevo
b_timerevo,b_timerevo_adj,,
b_romanov,b_romanov,,Romanov
b_romanov,b_romanov_adj,,
b_tutaev,b_tutaev,,Tutaev
b_tutaev,b_tutaev_adj,,
b_tolga,b_tolga,,Tolga
b_tolga,b_tolga_adj,,
b_yaroslavl,b_yaroslavl,,Yaroslavl
b_yaroslavl,b_yaroslavl_adj,,
d_moskva,d_moskva,,Moskva
d_moskva,d_moskva_adj,,Moskva
c_moskva,PROV575,,Moskva
c_moskva,c_moskva,,
c_moskva,c_moskva_adj,,Moskva
b_moskva,b_moskva,,Moskva
b_moskva,b_moskva_adj,,
b_kasira,b_kasira,,Kasira
b_kasira,b_kasira_adj,,
b_peremyslmoskv,b_peremyslmoskv,,Peremysl-Moskvaskij
b_peremyslmoskv,b_peremyslmoskv_adj,,
b_lopasnja,b_lopasnja,,Lopasnja
b_lopasnja,b_lopasnja_adj,,
b_danilovmonestary,b_danilovmonestary,,Svyato-Danilov
b_danilovmonestary,b_danilovmonestary_adj,,
c_mozhaysk,PROV587,,Mozhajsk
c_mozhaysk,c_mozhaysk,,
c_mozhaysk,c_mozhaysk_adj,,Mozhajsk
