#,T,I,T,L,E
K,E,Y
V,A,L,U,E
S,W,M,H
e_byzantium,e_byzantium,,Basileia Rhõmaiõn
e_byzantium,e_byzantium_adj,,Rhõmaiõn
e_byzantium,anglonorse,,Rómverska keisaradæmið
e_byzantium,e_byzantium_adj_anglonorse,,Rómverska
e_byzantium,arberian,,Perandoria Romake
e_byzantium,e_byzantium_adj_arberian,,Romake
e_byzantium,armenian,,Hrromeakan Kaysrut'yun
e_byzantium,e_byzantium_adj_armenian,,Hrromeakan
e_byzantium,bohemian,,Rzímská Rzíse
e_byzantium,e_byzantium_adj_bohemian,,Rzímská
e_byzantium,bosnian,,Rimsku Imperiju
e_byzantium,e_byzantium_adj_bosnian,,Rimsku
e_byzantium,bulgarian,,Rimska Imperiya
e_byzantium,e_byzantium_adj_bulgarian,,Rimska
e_byzantium,croatian,,Rimsko Carstvo
e_byzantium,e_byzantium_adj_croatian,,Rimsko
e_byzantium,danish,,Rómverska keisaradæmið
e_byzantium,e_byzantium_adj_danish,,Rómverska
e_byzantium,georgian,,Romis Imperia
e_byzantium,e_byzantium_adj_georgian,,Romis
e_byzantium,hungarian,,Római Birodalom
e_byzantium,e_byzantium_adj_hungarian,,Római
e_byzantium,icelandic,,Rómverska keisaradæmið
e_byzantium,e_byzantium_adj_icelandic,,Rómverska
e_byzantium,karantanci,,Rimsko Cesárstvo
e_byzantium,e_byzantium_adj_karantanci,,Rimsko
e_byzantium,norse,,Rómverska keisaradæmið
e_byzantium,e_byzantium_adj_norse,,Rómverska
e_byzantium,norsegaelic,,Rómverska keisaradæmið
e_byzantium,e_byzantium_adj_norsegaelic,,Rómverska
e_byzantium,norwegian,,Rómverska keisaradæmið
e_byzantium,e_byzantium_adj_norwegian,,Rómverska
e_byzantium,polish,,Cesarstwo Rzymski
e_byzantium,e_byzantium_adj_polish,,Rzymski
e_byzantium,roman,,Imperium Romaniae
e_byzantium,romanian,,Imperiul Roman
e_byzantium,e_byzantium_adj_romanian,,Romani
e_byzantium,russian,,Rimskaya Imperiya
e_byzantium,e_byzantium_adj_russian,,Rimskaya
e_byzantium,serbian,,Srpsko-Rimsko Carstvo
e_byzantium,e_byzantium_adj_serbian,,Rimsko
e_byzantium,swedish,,Rómverska keisaradæmið
e_byzantium,e_byzantium_adj_swedish,,Rómverska
e_byzantium,short_name,,yes
k_byzantium,k_byzantium,,Thessalonika
k_byzantium,k_byzantium_adj,,Thessalonikan
k_byzantium,central_italian,,Tessalonica
k_byzantium,corsican,,Tessalonica
k_byzantium,dalmatian,,Tessalonica
k_byzantium,frankish,,Thessalonique
k_byzantium,greek,,Thessalonikes
k_byzantium,italian,,Tessalonica
k_byzantium,ligurian,,Tessalonica
k_byzantium,neapolitan,,Tessalonica
k_byzantium,norman,,Thessalonique
k_byzantium,sardinian,,Tessalonica
k_byzantium,sicilian,,Tessalonica
k_byzantium,southern_italian,,Tessalonica
k_byzantium,tuscan,,Tessalonica
k_byzantium,venetian,,Tessalonica
d_thrace,d_thrace,,Thrakes
d_thrace,d_thrace_adj,,Thracian
d_thrace,bulgarian,,Trakija
d_thrace,frankish,,Thrace
d_thrace,norman,,Thrace
d_thrace,oghuz,,Trakya
d_thrace,pecheneg,,Trakya
d_thrace,turkish,,Trakya
d_thrace,turkmen,,Trakya
c_kaliopolis,PROV495,,Kallipolis
c_kaliopolis,c_kaliopolis,,
c_kaliopolis,c_kaliopolis_adj,,Kaliopolisian
c_kaliopolis,oghuz,,Gelibolu
c_kaliopolis,c_kaliopolis_adj_oghuz,,Gelibolan
c_kaliopolis,pecheneg,,Gelibolu
c_kaliopolis,turkish,,Gelibolu
c_kaliopolis,c_kaliopolis_adj_turkish,,Gelibolan
c_kaliopolis,turkmen,,Gelibolu
c_kaliopolis,c_kaliopolis_adj_turkmen,,Gelibolan
b_selymbria,b_selymbria,,Selymbria
b_selymbria,b_selymbria_adj,,
b_selymbria,oghuz,,Silivri
b_selymbria,pecheneg,,Silivri
b_selymbria,turkish,,Silivri
b_selymbria,turkmen,,Silivri
b_raidestos,b_raidestos,,Raidestos
b_raidestos,b_raidestos_adj,,
b_raidestos,central_italian,,Rodosto
b_raidestos,corsican,,Rodosto
b_raidestos,dalmatian,,Rodosto
b_raidestos,frankish,,Rodosto
b_raidestos,italian,,Rodosto
b_raidestos,ligurian,,Rodosto
b_raidestos,neapolitan,,Rodosto
b_raidestos,norman,,Rodosto
b_raidestos,oghuz,,Rodoscuk
b_raidestos,pecheneg,,Rodoscuk
b_raidestos,sardinian,,Rodosto
b_raidestos,sicilian,,Rodosto
b_raidestos,southern_italian,,Rodosto
b_raidestos,turkish,,Rodoscuk
b_raidestos,turkmen,,Rodoscuk
b_raidestos,tuscan,,Rodosto
b_raidestos,venetian,,Rodosto
b_herakleiaperinthos,b_herakleiaperinthos,,Herakleia
b_herakleiaperinthos,b_herakleiaperinthos_adj,,
b_herakleiaperinthos,central_italian,,Heraclea
b_herakleiaperinthos,corsican,,Heraclea
b_herakleiaperinthos,dalmatian,,Heraclea
b_herakleiaperinthos,frankish,,Héraclée
b_herakleiaperinthos,italian,,Heraclea
b_herakleiaperinthos,ligurian,,Heraclea
b_herakleiaperinthos,neapolitan,,Heraclea
b_herakleiaperinthos,norman,,Héraclée
b_herakleiaperinthos,oghuz,,Eregli
b_herakleiaperinthos,pecheneg,,Eregli
b_herakleiaperinthos,sardinian,,Heraclea
b_herakleiaperinthos,sicilian,,Heraclea
b_herakleiaperinthos,southern_italian,,Heraclea
b_herakleiaperinthos,turkish,,Eregli
b_herakleiaperinthos,turkmen,,Eregli
b_herakleiaperinthos,tuscan,,Heraclea
b_herakleiaperinthos,venetian,,Heraclea
b_gallipoli,b_gallipoli,,Kallipolis
b_gallipoli,b_gallipoli_adj,,
b_gallipoli,oghuz,,Gelibolu
b_gallipoli,pecheneg,,Gelibolu
b_gallipoli,turkish,,Gelibolu
b_gallipoli,turkmen,,Gelibolu
b_ainos,b_ainos,,Ainos
b_ainos,b_ainos_adj,,
b_ainos,oghuz,,Enez
b_ainos,pecheneg,,Enez
b_ainos,turkish,,Enez
b_ainos,turkmen,,Enez
b_tzouroulos,b_tzouroulos,,Tzouroulos
b_tzouroulos,b_tzouroulos_adj,,
b_tzouroulos,oghuz,,Corlu
b_tzouroulos,pecheneg,,Corlu
b_tzouroulos,turkish,,Corlu
b_tzouroulos,turkmen,,Corlu
c_byzantion,PROV496,,Konstantinoupolis
c_byzantion,c_byzantion,,
c_byzantion,c_byzantion_adj,,Constantinopian
c_byzantion,andalusian_arabic,,al-Qustantiniyah
c_byzantion,c_byzantion_adj_andalusian_arabic,,Qustantiniyan
c_byzantion,anglonorse,,Miklagarðr
c_byzantion,c_byzantion_adj_anglonorse,,Miklagarðrian
c_byzantion,bavarian,,Konstantinusesburg
c_byzantion,bedouin_arabic,,al-Qustantiniyah
c_byzantion,c_byzantion_adj_bedouin_arabic,,Qustantiniyan
c_byzantion,bohemian,,Carzihrad
c_byzantion,c_byzantion_adj_bohemian,,Carzihradan
c_byzantion,bosnian,,Tsargrad
c_byzantion,c_byzantion_adj_bosnian,,Tsargradian
c_byzantion,bulgarian,,Tsargrad
c_byzantion,c_byzantion_adj_bulgarian,,Tsargradian
c_byzantion,croatian,,Tsargrad
c_byzantion,c_byzantion_adj_croatian,,Tsargradian
c_byzantion,danish,,Miklagarðr
c_byzantion,c_byzantion_adj_danish,,Miklagarðrian
c_byzantion,egyptian_arabic,,al-Qustantiniyah
c_byzantion,c_byzantion_adj_egyptian_arabic,,Qustantiniyan
c_byzantion,franconian,,Konstantinusesburg
c_byzantion,gothic,,Miklagarðr
c_byzantion,c_byzantion_adj_gothic,,Miklagarðrian
c_byzantion,icelandic,,Miklagarðr
c_byzantion,c_byzantion_adj_icelandic,,Miklagarðrian
c_byzantion,karantanci,,Tsargrad
c_byzantion,c_byzantion_adj_karantanci,,Tsargradian
c_byzantion,kurdish,,al-Qustantiniyah
c_byzantion,c_byzantion_adj_kurdish,,Qustantiniyan
c_byzantion,levantine_arabic,,al-Qustantiniyah
c_byzantion,c_byzantion_adj_levantine_arabic,,Qustantiniyan
c_byzantion,maghreb_arabic,,al-Qustantiniyah
c_byzantion,c_byzantion_adj_maghreb_arabic,,Qustantiniyan
c_byzantion,moravian,,Carzihrad
c_byzantion,c_byzantion_adj_moravian,,Carzihradan
c_byzantion,norse,,Miklagarðr
c_byzantion,c_byzantion_adj_norse,,Miklagarðrian
c_byzantion,norsegaelic,,Miklagarðr
c_byzantion,c_byzantion_adj_norsegaelic,,Miklagarðrian
c_byzantion,norwegian,,Miklagarðr
c_byzantion,c_byzantion_adj_norwegian,,Miklagarðrian
c_byzantion,oghuz,,Kostantiniye
c_byzantion,c_byzantion_adj_oghuz,,Kostantiniyyan
c_byzantion,pecheneg,,Kostantiniye
c_byzantion,polish,,Tsargrad
c_byzantion,c_byzantion_adj_polish,,Tsargradian
c_byzantion,pommeranian,,Tsargrad
c_byzantion,c_byzantion_adj_pommeranian,,Tsargradian
c_byzantion,russian,,Tsargrad
c_byzantion,c_byzantion_adj_russian,,Tsargrad
c_byzantion,saxon,,Miklagarðr
c_byzantion,c_byzantion_adj_saxon,,Miklagarðrian
c_byzantion,serbian,,Tsargrad
c_byzantion,c_byzantion_adj_serbian,,Tsargradian
c_byzantion,swabian,,Konstantinusesburg
c_byzantion,swedish,,Miklagarðr
c_byzantion,c_byzantion_adj_swedish,,Miklagarðrian
c_byzantion,thuringian,,Konstantinusesburg
c_byzantion,turkish,,Kostantiniye
c_byzantion,c_byzantion_adj_turkish,,Kostantiniyyan
c_byzantion,turkmen,,Kostantiniye
c_byzantion,c_byzantion_adj_turkmen,,Kostantiniyyan
b_constantinople,b_constantinople,,Konstantinoupolis
b_constantinople,b_constantinople_adj,,
b_constantinople,andalusian_arabic,,al-Qustantiniyah
b_constantinople,anglonorse,,Miklagarðr
b_constantinople,bavarian,,Konstantinusesburg
b_constantinople,bedouin_arabic,,al-Qustantiniyah
b_constantinople,bohemian,,Carzihrad
b_constantinople,bosnian,,Tsargrad
b_constantinople,bulgarian,,Tsargrad
b_constantinople,croatian,,Tsargrad
b_constantinople,danish,,Miklagarðr
b_constantinople,egyptian_arabic,,al-Qustantiniyah
b_constantinople,franconian,,Konstantinusesburg
b_constantinople,gothic,,Miklagarðr
b_constantinople,icelandic,,Miklagarðr
b_constantinople,karantanci,,Tsargrad
b_constantinople,kurdish,,al-Qustantiniyah
b_constantinople,levantine_arabic,,al-Qustantiniyah
b_constantinople,maghreb_arabic,,al-Qustantiniyah
b_constantinople,moravian,,Carzihrad
b_constantinople,norse,,Miklagarðr
b_constantinople,norsegaelic,,Miklagarðr
b_constantinople,norwegian,,Miklagarðr
b_constantinople,oghuz,,Kostantiniye
b_constantinople,pecheneg,,Kostantiniye
b_constantinople,polish,,Tsargrad
b_constantinople,pommeranian,,Tsargrad
b_constantinople,russian,,Tsargrad
b_constantinople,saxon,,Miklagarðr
b_constantinople,serbian,,Tsargrad
b_constantinople,swabian,,Konstantinusesburg
b_constantinople,swedish,,Miklagarðr
b_constantinople,thuringian,,Konstantinusesburg
b_constantinople,turkish,,Kostantiniye
b_constantinople,turkmen,,Kostantiniye
b_hagiasophia,b_hagiasophia,,Constantinople
b_hagiasophia,b_hagiasophia_adj,,
b_hagiasophia,oghuz,,Ayasofya
b_hagiasophia,pecheneg,,Ayasofya
b_hagiasophia,turkish,,Ayasofya
b_hagiasophia,turkmen,,Ayasofya
b_galata,b_galata,,Galata
b_galata,b_galata_adj,,
b_galata,oghuz,,Karaköy
b_galata,pecheneg,,Karaköy
b_galata,turkish,,Karaköy
b_galata,turkmen,,Karaköy
b_blachernae,b_blachernae,,Blachernae
b_blachernae,b_blachernae_adj,,
b_blachernae,oghuz,,Ayvansaray
b_blachernae,pecheneg,,Ayvansaray
b_blachernae,turkish,,Ayvansaray
b_blachernae,turkmen,,Ayvansaray
b_phanarion,b_phanarion,,Phanárion
