#TITLE;KEY;VALUE;SWMH
d_brabant;d_brabant;;Brabant
d_brabant;d_brabant_adj;;Brabantian
c_brabant;PROV117;;Leuven
c_brabant;c_brabant_adj;;Brabantian
c_brabant;dutch;;Leuven
c_brabant;frankish;;Louvain
c_brabant;german;;Löwen
b_leuven;b_leuven;;Leuven
b_leuven;b_leuven_adj;;
b_leuven;dutch;;Leuven
b_leuven;frankish;;Louvain
b_leuven;german;;Löwen
b_tienen;b_tienen;;Tienen
b_tienen;b_tienen_adj;;
b_horstcastle;b_horstcastle;;Horst
b_horstcastle;b_horstcastle_adj;;
b_diestcity;b_diestcity;;Diest
b_diestcity;b_diestcity_adj;;
b_aarschot;b_aarschot;;Aarschot
b_aarschot;b_aarschot_adj;;
b_aarschot;dutch;;Aarschot
b_aarschot;frankish;;Aerschot
b_aarschot;german;;Aarschot
c_brussel;PROV1019;;Brussel
c_brussel;c_brussel_adj;;Brussel
c_brussel;dutch;;Broekzele
c_brussel;frankish;;Bruxelles
c_brussel;german;;Brüssel
b_coudeberg;b_coudeberg;;Coudeberg
b_coudeberg;b_coudeberg_adj;;
b_coudeberg;dutch;;Coudenberg
b_coudeberg;frankish;;Coudenberg
b_coudeberg;german;;Coudenberg
b_affligem;b_affligem;;Affligem
b_affligem;b_affligem_adj;;
b_affligem;frankish;;Afflighem
b_grimbergen;b_grimbergen;;Grimbergen
b_grimbergen;b_grimbergen_adj;;
b_mechelen;b_mechelen;;Mechelen
b_mechelen;b_mechelen_adj;;
b_mechelen;dutch;;Mechelen
b_mechelen;frankish;;Malines
b_mechelen;german;;Mecheln
b_brussel;b_brussel;;Brussel
b_brussel;b_brussel_adj;;
b_brussel;dutch;;Brussel
b_brussel;frankish;;Bruxelles
b_brussel;german;;Brüssel
c_breda;PROV92;;Antwerp
c_breda;c_breda_adj;;Bredian
c_breda;dutch;;Antwerpen
c_breda;frankish;;Anvers
c_breda;german;;Antorf
b_breda;b_breda;;Breda
b_breda;b_breda_adj;;
b_breda;frankish;;Bréda
b_lier;b_lier;;Lier
b_lier;b_lier_adj;;
b_lier;frankish;;Lierre
b_turnhout;b_turnhout;;Turnhout
b_turnhout;b_turnhout_adj;;
b_turnhout;frankish;;Thourout
b_turnhout;old_frankish;;Turholt
b_antwerpen;b_antwerpen;;Antwerpen
b_antwerpen;b_antwerpen_adj;;
b_antwerpen;dutch;;Antwerpen
b_antwerpen;frankish;;Anvers
b_antwerpen;german;;Antorf
b_tilburg;b_tilburg;;Tilburg
b_tilburg;b_tilburg_adj;;
b_tilburg;frankish;;Tilbourg
b_bergenopzoom;b_bergenopzoom;;Bergenopzoom
b_bergenopzoom;b_bergenopzoom_adj;;
b_bergenopzoom;frankish;;Berg-op-Zoom
c_namur;PROV1056;;Namur
c_namur;c_namur_adj;;Namurische
c_namur;dutch;;Namen
c_namur;german;;Namür
b_namur;b_namur;;Namur
b_namur;b_namur_adj;;
b_namur;dutch;;Namen
b_namur;german;;Namür
b_andenne;b_andenne;;Andenne
b_andenne;b_andenne_adj;;
b_dinant;b_dinant;;Dinant
b_dinant;b_dinant_adj;;
d_hainaut;d_hainaut;;Hainaut
d_hainaut;d_hainaut_adj;;Wallon
d_hainaut;dutch;;Henegouwen
d_hainaut;german;;Hennegau
d_hainaut;name_tier;;count
c_hainaut;PROV94;;Mons
c_hainaut;c_hainaut_adj;;Hainautian
c_hainaut;dutch;;Bergen
c_hainaut;german;;Bergen
b_hallen;b_hallen;;Halle
b_hallen;b_hallen_adj;;
b_hallen;dutch;;Halle
b_hallen;frankish;;Hal
b_soignies;b_soignies;;Soignies
b_soignies;b_soignies_adj;;
b_soignies;dutch;;Zinnik
b_soignies;german;;Söglingen
b_lessines;b_lessines;;Lessines
b_lessines;b_lessines_adj;;
b_lessines;dutch;;Lessen
b_mons;b_mons;;Bergen
b_mons;b_mons_adj;;
b_mons;dutch;;Bergen
b_mons;german;;Bergen
b_enghien;b_enghien;;Enghien
b_enghien;b_enghien_adj;;
b_enghien;dutch;;Edingen
c_valenciennes;PROV1022;;Valenciennes
c_valenciennes;c_valenciennes_adj;;Valenciennes
c_valenciennes;dutch;;Valencijn
b_valenciennes;b_valenciennes;;Valenciennes
b_valenciennes;b_valenciennes_adj;;
b_valenciennes;dutch;;Valencijn
b_cihmay;b_cihmay;;Chimay
b_cihmay;b_cihmay_adj;;
b_cihmay;frankish;;Chimay
b_avesnes;b_avesnes;;Avesnes
b_avesnes;b_avesnes_adj;;
b_avesnes;dutch;;Avenne
b_maubeuge;b_maubeuge;;Maubeuge
b_maubeuge;b_maubeuge_adj;;
b_maubeuge;dutch;;Mabuse
c_cambrai;PROV1024;;Cambrai
c_cambrai;c_cambrai_adj;;Cambrai
c_cambrai;dutch;;Kamerijk
c_cambrai;german;;Kamerich
b_arleux;b_arleux;;Arleux
b_arleux;b_arleux_adj;;
b_cambrai;b_cambrai;;Cambrai
b_cambrai;b_cambrai_adj;;
b_cambrai;dutch;;Kamerijk
b_cambrai;german;;Kamerich
b_saintspouplet;b_saintspouplet;;Saint-Souplet
b_saintspouplet;b_saintspouplet_adj;;
e_france;e_france;;France
e_france;e_france_adj;;Français
k_burgundy;k_burgundy;;Bourgogne
k_burgundy;k_burgundy_adj;;Bourguignon
k_burgundy;german;;Burgund
d_arles;d_arles;;Arles
d_arles;d_arles_adj;;Arlésien
d_arles;greek;;Arelate
d_arles;roman;;Arelate
c_arles;PROV1047;;Arle
c_arles;c_arles_adj;;Arles
c_arles;greek;;Arelate
c_arles;roman;;Arelate
b_arles;b_arles;;Arles
b_arles;b_arles_adj;;
b_arles;greek;;Arelate
b_arles;roman;;Arelate
b_chateaudelemperi;b_chateaudelemperi;;Castèu de l'Empèri
b_chateaudelemperi;b_chateaudelemperi_adj;;
b_salondeprovence;b_salondeprovence;;Selon
b_salondeprovence;b_salondeprovence_adj;;
d_provence;d_provence;;Provença
d_provence;d_provence_adj;;Provençal
d_provence;name_tier;;count
c_provence;PROV221;;Provence
c_provence;c_provence_adj;;Provencal
c_provence;greek;;Massalia
c_provence;roman;;Massilia
b_aix;b_aix;;Aix
b_aix;b_aix_adj;;
b_aix;greek;;Ydata Sextia
b_aix;roman;;Aquae Sextiae
b_marseille;b_marseille;;Marseille
b_marseille;b_marseille_adj;;
b_marseille;greek;;Massalia
b_marseille;roman;;Massilia
b_grimaud;b_grimaud;;Grimaud
b_grimaud;b_grimaud_adj;;
b_frejus;b_frejus;;Fréjus
b_frejus;b_frejus_adj;;
b_frejus;greek;;Forum Iulii
b_frejus;roman;;Forum Iulii
b_grasse;b_grasse;;Grasse
b_grasse;b_grasse_adj;;
b_castellane;b_castellane;;Castellane
b_castellane;b_castellane_adj;;
c_forcalquier;PROV229;;Auta Provença
c_forcalquier;c_forcalquier_adj;;Haute Provence
b_forcalquier;b_forcalquier;;Forcalquier
b_forcalquier;b_forcalquier_adj;;
b_sisteron;b_sisteron;;Sisteron
b_sisteron;b_sisteron_adj;;
b_sisteron;greek;;Segustero
b_sisteron;roman;;Segustero
b_sault;b_sault;;Sault
b_sault;b_sault_adj;;
b_digne;b_digne;;Dihna
b_digne;b_digne_adj;;
c_nice;PROV230;;Nissa
c_nice;c_nice_adj;;Niçois
c_nice;greek;;Antipolis
c_nice;roman;;Antipolis
b_nizza;b_nizza;;Nissa
b_nizza;b_nizza_adj;;
b_nizza;greek;;Nikaia
b_nizza;roman;;Nicaea
b_antibes;b_antibes;;Antibes
b_antibes;b_antibes_adj;;
b_antibes;greek;;Antipolis
b_antibes;roman;;Antipolis
b_lantosque;b_lantosque;;Lantosque
b_lantosque;b_lantosque_adj;;
b_contes;b_contes;;Contes
b_contes;b_contes_adj;;
c_venaissin;PROV222;;Venaissin
c_venaissin;c_venaissin_adj;;Venaissinian
c_venaissin;greek;;Auenion
c_venaissin;roman;;Avenio
b_orange;b_orange;;Orange
b_orange;b_orange_adj;;
b_orange;greek;;Arausion
b_orange;roman;;Arausio
b_avignon;b_avignon;;Avignon
b_avignon;b_avignon_adj;;
b_avignon;greek;;Auenion
b_avignon;roman;;Avenio
b_venasque;b_venasque;;Veasque
b_venasque;b_venasque_adj;;
b_carpentras;b_carpentras;;Carpentras
b_carpentras;b_carpentras_adj;;
b_stpaul;b_stpaul;;St. Paul
b_stpaul;b_stpaul_adj;;
c_viviers;PROV223;;Vivarés
c_viviers;c_viviers_adj;;Vivieran
b_aubenas;b_aubenas;;Aubenàs
b_aubenas;b_aubenas_adj;;
b_tournon;b_tournon;;Tornon
b_tournon;b_tournon_adj;;
b_viviers;b_viviers;;Vivièrs
b_viviers;b_viviers_adj;;
b_largentiere;b_largentiere;;L'Argentièira
b_largentiere;b_largentiere_adj;;
d_lyon;d_lyon;;Lyon
d_lyon;d_lyon_adj;;Lyonnaise
d_lyon;greek;;Lougdounon
d_lyon;roman;;Lugdunum
c_lyon;PROV227;;Lyon
c_lyon;c_lyon_adj;;Lyonnais
c_lyon;greek;;Lougdounon
c_lyon;roman;;Lugdunum
b_brindas;b_brindas;;Brindas
b_brindas;b_brindas_adj;;
b_stjeanbaptiste;b_stjeanbaptiste;;St Jean-Baptiste
b_stjeanbaptiste;b_stjeanbaptiste_adj;;
b_lyon;b_lyon;;Lyon
b_lyon;b_lyon_adj;;
b_lyon;greek;;Lougdounon
b_lyon;roman;;Lugdunum
b_anse;b_anse;;Anse
b_anse;b_anse_adj;;
b_pusignan;b_pusignan;;Pusignan
b_pusignan;b_pusignan_adj;;
d_dauphine;d_dauphine;;Dauphiné
d_dauphine;d_dauphine_adj;;Dauphinian
c_dauphine_viennois;PROV228;;Viennois
c_dauphine_viennois;c_dauphine_viennois_adj;;Viennois
c_dauphine_viennois;greek;;Ouienna
c_dauphine_viennois;roman;;Vienna
b_albon;b_albon;;Albon
b_albon;b_albon_adj;;
b_vienne;b_vienne;;Vièna
b_vienne;b_vienne_adj;;
b_vienne;greek;;Ouienna
b_vienne;roman;;Vienna
b_chateaudeclermont;b_chateaudeclermont;;Clermont
b_chateaudeclermont;b_chateaudeclermont_adj;;
b_chateaudeclermont;greek;;Augoustonemeton
b_chateaudeclermont;roman;;Augustonemetum
b_chateaudefallavier;b_chateaudefallavier;;Fallavier
b_chateaudefallavier;b_chateaudefallavier_adj;;
c_valentinois;PROV1252;;Valentinois
c_valentinois;c_valentinois_adj;;Valentinois
c_valentinois;greek;;Oualentia
c_valentinois;roman;;Valentia
b_chateaudesadhemar;b_chateaudesadhemar;;Castèu de Adhémar
b_chateaudesadhemar;b_chateaudesadhemar_adj;;
b_valence;b_valence;;Valence
b_valence;b_valence_adj;;
b_valence;greek;;Oualentia
b_valence;roman;;Valentia
b_stantoine;b_stantoine;;Saint Antoine
b_stantoine;b_stantoine_adj;;
b_die;b_die;;Diá
b_die;b_die_adj;;
c_gapencais;PROV1049;;Gapençais
c_gapencais;c_gapencais_adj;;Gapençais
c_gapencais;greek;;Vappincum
c_gapencais;roman;;Vappincum
b_embrun;b_embrun;;Embrun
b_embrun;b_embrun_adj;;
b_gap;b_gap;;Gap
b_gap;b_gap_adj;;
b_gap;greek;;Vappincum
b_gap;roman;;Vappincum
b_briancon;b_briancon;;Briançon
b_briancon;b_briancon_adj;;
b_stbonnet;b_stbonnet;;Saint Bonnet
b_stbonnet;b_stbonnet_adj;;
c_graisivaudan;PROV1048;;Graisivaudan
c_graisivaudan;c_graisivaudan_adj;;Graisivaudan
c_graisivaudan;greek;;Gratianopolis
c_graisivaudan;roman;;Gratianopolis
b_vif;b_vif;;Vif
b_vif;b_vif_adj;;
b_grenoble;b_grenoble;;Grenoble
b_grenoble;b_grenoble_adj;;
b_grenoble;greek;;Gratianopolis
b_grenoble;roman;;Gratianopolis
b_voreppe;b_voreppe;;Voreppe
b_voreppe;b_voreppe_adj;;
b_valbonnais;b_valbonnais;;Valbonnais
b_valbonnais;b_valbonnais_adj;;
k_brittany;k_brittany;;Breizh
k_brittany;k_brittany_adj;;Brezhoneg
k_brittany;norse;;Bertangaland
d_brittany;d_brittany;;Breizh
d_brittany;d_brittany_adj;;Brezhoneg
d_brittany;norse;;Bertangaland
c_vannes;PROV105;;Gwened
c_vannes;c_vannes_adj;;Vannesian
c_vannes;greek;;Darioriton
c_vannes;roman;;Darioritum
b_vannes;b_vannes;;Vannes
b_vannes;b_vannes_adj;;
b_vannes;greek;;Darioriton
b_vannes;roman;;Darioritum
b_josselin;b_josselin;;Josselin
b_josselin;b_josselin_adj;;
b_locmine;b_locmine;;Locminé
b_locmine;b_locmine_adj;;
b_hennebont;b_hennebont;;Hennebont
b_hennebont;b_hennebont_adj;;
c_cornouaille;PROV104;;Gernev
c_cornouaille;c_cornouaille_adj;;Cornouaillian
c_cornouaille;greek;;Ouorgion
c_cornouaille;roman;;Vorgium
b_quimper;b_quimper;;Quimper
b_quimper;b_quimper_adj;;
b_carhaix;b_carhaix;;Carhaix
b_carhaix;b_carhaix_adj;;
b_carhaix;greek;;Ouorgion
b_carhaix;roman;;Vorgium
b_quimperle;b_quimperle;;Quimperlé
b_quimperle;b_quimperle_adj;;
b_landevennec;b_landevennec;;Landévennec
b_landevennec;b_landevennec_adj;;
b_langonnet;b_langonnet;;Langonnet
b_langonnet;b_langonnet_adj;;
c_french_leon;PROV103;;Leon
c_french_leon;c_french_leon_adj;;Leonian
c_french_leon;greek;;Gesocribate
c_french_leon;roman;;Gesocribate
b_brest;b_brest;;Brest
b_brest;b_brest_adj;;
b_st_pol_de_leon;b_st_pol_de_leon;;Saint-Pol-de-Léon
b_st_pol_de_leon;b_st_pol_de_leon_adj;;
b_roscoff;b_roscoff;;Roscoff
b_roscoff;b_roscoff_adj;;
b_plougonven;b_plougonven;;Plougonven
b_plougonven;b_plougonven_adj;;
b_st_meen;b_st_meen;;Saint-Méen
b_st_meen;b_st_meen_adj;;
c_nantes;PROV106;;Naoned
c_nantes;c_nantes_adj;;Nantesian
c_nantes;greek;;Portus Namnetum
c_nantes;roman;;Portus Namnetum
b_nantes;b_nantes;;Nantes
b_nantes;b_nantes_adj;;
b_nantes;greek;;Portus Namnetum
b_nantes;roman;;Portus Namnetum
