#,T,I,T,L,E
K,E,Y
V,A,L,U,E
S,W,M,H
e_hre,e_hre,,Heiliges Römisches Reich
e_hre,e_hre_adj,,Kaiserliche
e_hre,short_name,,yes
k_hansa,k_hansa,,The Hansa
k_hansa,k_hansa_adj,,Hanseatic
k_frisia,k_frisia,,Fryslân
k_frisia,k_frisia_adj,,Fryske
k_frisia,dutch,,Friesland
k_frisia,frankish,,Frise
k_frisia,frisian,,Fresland
k_frisia,german,,Friesland
k_frisia,low_german,,Frieslaand
d_holland,d_holland,,Holland
d_holland,d_holland_adj,,Hollander
d_holland,frankish,,Hollande
d_holland,frisian,,Hollân
d_holland,name_tier,,count
c_holland,PROV80,,Holland
c_holland,c_holland,,
c_holland,c_holland_adj,,Hollander
b_haarlem,b_haarlem,,Haarlem
b_haarlem,b_haarlem_adj,,
b_haarlem,frisian,,Haarlim
b_amsterdam,b_amsterdam,,Amsterdam
b_amsterdam,b_amsterdam_adj,,
b_vlaardingen,b_vlaardingen,,Vlaardingen
b_vlaardingen,b_vlaardingen_adj,,
b_vlaardingen,frankish,,Flardingue
b_vlaardingen,frisian,,Flaardingen
b_sgravenhage,b_sgravenhage,,s-Gravenhage
b_sgravenhage,b_sgravenhage_adj,,
b_sgravenhage,dutch,,Den Haag
b_sgravenhage,frankish,,La Haye
b_sgravenhage,frisian,,De Haach
b_dordrecht,b_dordrecht,,Dordrecht
b_dordrecht,b_dordrecht_adj,,
b_dordrecht,frankish,,Dort
b_dordrecht,frisian,,Doardt
c_zeeland,PROV79,,Zeeland
c_zeeland,c_zeeland,,
c_zeeland,c_zeeland_adj,,Zeelander
b_middelburg,b_middelburg,,Middelburg
b_middelburg,b_middelburg_adj,,
b_middelburg,frankish,,Middelbourg
b_middelburg,frisian,,Middelburch
b_tholen,b_tholen,,Tholen
b_tholen,b_tholen_adj,,
b_veere,b_veere,,Veere
b_veere,b_veere_adj,,
b_vlissingen,b_vlissingen,,Vlissingen
b_vlissingen,b_vlissingen_adj,,
b_vlissingen,frankish,,Flessingue
b_vlissingen,frisian,,Flissingen
d_utrecht,d_utrecht,,Utrecht
d_utrecht,d_utrecht_adj,,Utrechtse
d_utrecht,frisian,,Utert
d_utrecht,name_tier,,count
c_sticht,PROV82,,Sticht
c_sticht,c_sticht,,
c_sticht,c_sticht_adj,,Stichtian
b_woerden,b_woerden,,Woerden
b_woerden,b_woerden_adj,,
b_utrecht,b_utrecht,,Utrecht
b_utrecht,b_utrecht_adj,,
b_utrecht,frisian,,Utert
b_gorinchem,b_gorinchem,,Gorinchem
b_gorinchem,b_gorinchem_adj,,
b_gorinchem,frisian,,Garkum
b_ijsselstein,b_ijsselstein,,IJsselstein
b_ijsselstein,b_ijsselstein_adj,,
c_oversticht,PROV1059,,Oversticht
c_oversticht,c_oversticht,,
c_oversticht,c_oversticht_adj,,Overstichtische
c_oversticht,low_german,,Oaversticht
b_deventer,b_deventer,,Deventer
b_deventer,b_deventer_adj,,
b_deventer,frisian,,Dimter
b_deventer,low_german,,Daeventer
b_kampen,b_kampen,,Kampen
b_kampen,b_kampen_adj,,
b_coevorden,b_coevorden,,Coevorden
b_coevorden,b_coevorden_adj,,
b_coevorden,low_german,,Coevern
d_gelre,d_gelre,,Gelre
d_gelre,d_gelre_adj,,Gelrian
d_gelre,frankish,,Gueldre
d_gelre,german,,Geldern
c_arnhem,PROV1017,,Veluwe
c_arnhem,c_arnhem,,
c_arnhem,c_arnhem_adj,,Veluweische
b_elburg,b_elburg,,Elburg
b_elburg,b_elburg_adj,,
b_arnhem,b_arnhem,,Arnhem
b_arnhem,b_arnhem_adj,,
b_arnhem,frisian,,Arnhim
b_arnhem,german,,Arnheim
b_arnhem,low_german,,Arnem
b_harderwijk,b_harderwijk,,Harderwijk
b_harderwijk,b_harderwijk_adj,,
b_harderwijk,low_german,,Harderwiek
b_hattem,b_hattem,,Hattem
b_hattem,b_hattem_adj,,
b_hattem,low_german,,Attem
c_gelre,PROV83,,Gelre
c_gelre,c_gelre,,
c_gelre,c_gelre_adj,,Gelrian
b_nijmegen,b_nijmegen,,Nijmegen
b_nijmegen,b_nijmegen_adj,,
b_nijmegen,frankish,,Nimègue
b_nijmegen,frisian,,Nymwegen
b_nijmegen,german,,Nimwegen
b_nijmegen,greek,,Noiomagos
b_nijmegen,roman,,Noviomagus Batavodurum
b_geldern,b_geldern,,Geldern
b_geldern,b_geldern_adj,,
b_geldern,dutch,,Gelderen
b_geldern,frankish,,Gueldre
b_roermond,b_roermond,,Roermond
b_roermond,b_roermond_adj,,
b_roermond,frankish,,Ruremonde
b_montfort_gelre,b_montfort_gelre,,Montfort
b_montfort_gelre,b_montfort_gelre_adj,,
b_gendt,b_gendt,,Gendt
b_gendt,b_gendt_adj,,
c_zutphen,PROV1058,,Zutphen
c_zutphen,c_zutphen,,
c_zutphen,c_zutphen_adj,,Zupthische
c_zutphen,frisian,,Sutfen
c_zutphen,low_german,,Zutfent
b_zutphen,b_zutphen,,Zutphen
b_zutphen,b_zutphen_adj,,
b_zutphen,frisian,,Sutfen
b_zutphen,low_german,,Zutfent
b_steenderen,b_steenderen,,Steenderen
b_steenderen,b_steenderen_adj,,
b_eerbeek,b_eerbeek,,Eerbeek
b_eerbeek,b_eerbeek_adj,,
d_frisia,d_frisia,,Friesland
d_frisia,d_frisia_adj,,Friese
d_frisia,dutch,,Friesland
d_frisia,frankish,,Frise
d_frisia,frisian,,Fresland
d_frisia,german,,Friesland
d_frisia,low_german,,Freesland
c_ostfriesland,PROV85,,Ostfriesland
c_ostfriesland,c_ostfriesland,,
c_ostfriesland,c_ostfriesland_adj,,Ostfrieslander
c_ostfriesland,dutch,,Oost Friesland
c_ostfriesland,frankish,,Frise Orientale
c_ostfriesland,frisian,,Aastfräislound
c_ostfriesland,german,,Ostfriesland
