#TITLE,KEY,VALUE,SWMH
e_spain,e_spain,,España
e_spain,e_spain_adj,,Española
e_spain,andalusian_arabic,,Isbaniyya
e_spain,aragonese,,Espanya
e_spain,basque,,Espainia
e_spain,catalan,,Espanya
e_spain,egyptian_arabic,,Isbaniyya
e_spain,frankish,,Espagne
e_spain,galician,,España
e_spain,leonese,,España
e_spain,levantine_arabic,,Isbaniyya
e_spain,maghreb_arabic,,Isbaniyya
e_spain,portuguese,,Espanha
e_spain,sicilian_arabic,,Isbaniyya
k_castille,k_castille,,Castilla
k_castille,k_castille_adj,,Castellana
k_castille,andalusian_arabic,,al-Qila
k_castille,aragonese,,Castiella
k_castille,basque,,Gaztela
k_castille,bedouin_arabic,,al-Qila
k_castille,catalan,,Castella
k_castille,egyptian_arabic,,al-Qila
k_castille,frankish,,Castille
k_castille,galician,,Castela
k_castille,leonese,,Castiella
k_castille,levantine_arabic,,al-Qila
k_castille,maghreb_arabic,,al-Qila
k_castille,portuguese,,Castela
k_castille,sicilian_arabic,,al-Qila
d_castilla,d_castilla,,Castilla
d_castilla,d_castilla_adj,,Castellana
d_castilla,andalusian_arabic,,al-Qila
d_castilla,aragonese,,Castiella
d_castilla,basque,,Gaztela
d_castilla,bedouin_arabic,,al-Qila
d_castilla,catalan,,Castella
d_castilla,egyptian_arabic,,al-Qila
d_castilla,frankish,,Castille
d_castilla,galician,,Castela
d_castilla,leonese,,Castiella
d_castilla,levantine_arabic,,al-Qila
d_castilla,maghreb_arabic,,al-Qila
d_castilla,portuguese,,Castela
d_castilla,sicilian_arabic,,al-Qila
d_castilla,name_tier,,count
c_burgos,PROV199,,Burgos
c_burgos,c_burgos_adj,,Burgosian
c_burgos,andalusian_arabic,,Burchia
c_burgos,bedouin_arabic,,Burchia
c_burgos,catalan,,Burchs
c_burgos,egyptian_arabic,,Burchia
c_burgos,frankish,,Bourges
c_burgos,levantine_arabic,,Burchia
c_burgos,maghreb_arabic,,Burchia
c_burgos,sicilian_arabic,,Burchia
b_burgos,b_burgos,,Burgos
b_burgos,b_burgos_adj,,
b_burgos,andalusian_arabic,,Burchia
b_burgos,bedouin_arabic,,Burchia
b_burgos,catalan,,Burchs
b_burgos,egyptian_arabic,,Burchia
b_burgos,frankish,,Bourges
b_burgos,levantine_arabic,,Burchia
b_burgos,maghreb_arabic,,Burchia
b_burgos,sicilian_arabic,,Burchia
b_mirandadeebro,b_mirandadeebro,,Miranda de Ebro
b_mirandadeebro,b_mirandadeebro_adj,,
b_mirandadeebro,andalusian_arabic,,Miranda al-A'bra
b_mirandadeebro,aragonese,,Miranda d'Ebro
b_mirandadeebro,basque,,Miranda Ebroko
b_mirandadeebro,bedouin_arabic,,Miranda al-A'bra
b_mirandadeebro,catalan,,Miranda d'Ebre
b_mirandadeebro,egyptian_arabic,,Miranda al-A'bra
b_mirandadeebro,frankish,,Mirande d'Èbre
b_mirandadeebro,galician,,Miranda do Ebro
b_mirandadeebro,leonese,,Miranda d'Ebro
b_mirandadeebro,levantine_arabic,,Miranda al-A'bra
b_mirandadeebro,maghreb_arabic,,Miranda al-A'bra
b_mirandadeebro,portuguese,,Miranda do Ebro
b_mirandadeebro,sicilian_arabic,,Miranda al-A'bra
b_onya,b_onya,,Oña
b_onya,b_onya_adj,,
b_onya,andalusian_arabic,,Unniyya
b_onya,aragonese,,Onya
b_onya,basque,,Onia
b_onya,bedouin_arabic,,Unniyya
b_onya,catalan,,Onya
b_onya,egyptian_arabic,,Unniyya
b_onya,frankish,,Ogne
b_onya,levantine_arabic,,Unniyya
b_onya,maghreb_arabic,,Unniyya
b_onya,portuguese,,Onha
b_onya,sicilian_arabic,,Unniyya
b_lara,b_lara,,Lara
b_lara,b_lara_adj,,
b_lara,andalusian_arabic,,La'ra
b_lara,bedouin_arabic,,La'ra
b_lara,egyptian_arabic,,La'ra
b_lara,levantine_arabic,,La'ra
b_lara,maghreb_arabic,,La'ra
b_lara,sicilian_arabic,,La'ra
b_castrojeriz,b_castrojeriz,,Castrojeriz
b_castrojeriz,b_castrojeriz_adj,,
b_castrojeriz,andalusian_arabic,,Qal'at Shigrit
b_castrojeriz,aragonese,,Castrocheríz
b_castrojeriz,basque,,Kastroxeritz
b_castrojeriz,bedouin_arabic,,Qal'at Shigrit
b_castrojeriz,catalan,,Castrasoritz
b_castrojeriz,egyptian_arabic,,Qal'at Shigrit
b_castrojeriz,frankish,,Châteauséri
b_castrojeriz,galician,,Castroxeriz
