#TITLE,KEY,VALUE,SWMH
e_rajastan,e_rajastan,,Rajastan
e_rajastan,e_rajastan_adj,,
k_sindh,k_sindh,,Sindh
k_sindh,k_sindh_adj,,
d_sauvira,d_sauvira,,Sauvira
d_sauvira,d_sauvira_adj,,
c_debul,PROV1600,,Debul
c_debul,c_debul,,Debul
c_debul,c_debul_adj,,Debul
b_debul,b_debul,,Debul
b_debul,b_debul_adj,,
b_banbhore,b_banbhore,,Banbhore
b_banbhore,b_banbhore_adj,,
b_landhi,b_landhi,,Landhi
b_landhi,b_landhi_adj,,
b_thatta,b_thatta,,Thatta
b_thatta,b_thatta_adj,,
b_makli,b_makli,,Makli
b_makli,b_makli_adj,,
b_shahbandar,b_shahbandar,,Shahbandar
b_shahbandar,b_shahbandar_adj,,
c_sonda,PROV1602,,Sonda
c_sonda,c_sonda,,Sonda
c_sonda,c_sonda_adj,,Sonda
b_sonda,b_sonda,,Sonda
b_sonda,b_sonda_adj,,
b_nagarparkar,b_nagarparkar,,Nagarparkar
b_nagarparkar,b_nagarparkar_adj,,
b_karoonjar,b_karoonjar,,Karoonjar
b_karoonjar,b_karoonjar_adj,,
b_amarkot,b_amarkot,,Amarkot
b_amarkot,b_amarkot_adj,,
c_mansura,PROV1603,,Mansura
c_mansura,c_mansura,,Mansura
c_mansura,c_mansura_adj,,Mansuran
b_mansura_mansura,b_mansura_mansura,,Mansura
b_mansura_mansura,b_mansura_mansura_adj,,
b_mirpur_khas,b_mirpur_khas,,Mirpur Khas
b_mirpur_khas,b_mirpur_khas_adj,,
b_hala,b_hala,,Hala
b_hala,b_hala_adj,,
b_nerunkot,b_nerunkot,,Nerunkot
b_nerunkot,b_nerunkot_adj,,
b_matiari,b_matiari,,Matiari
b_matiari,b_matiari_adj,,
c_ranikot,PROV1601,,Ranikot
c_ranikot,c_ranikot,,Ranikot
c_ranikot,c_ranikot_adj,,Ranikotan
b_ranikot,b_ranikot,,Ranikot
b_ranikot,b_ranikot_adj,,
b_sharusan,b_sharusan,,Sharusan
b_sharusan,b_sharusan_adj,,
b_paat,b_paat,,Paat
b_paat,b_paat_adj,,
b_khudabad,b_khudabad,,Khudabad
b_khudabad,b_khudabad_adj,,
c_siwistan,PROV1604,,Siwistan
c_siwistan,c_siwistan,,Siwistan
c_siwistan,c_siwistan_adj,,Siwistan
b_siwistan,b_siwistan,,Siwistan
b_siwistan,b_siwistan_adj,,
b_dahlilah,b_dahlilah,,Dahlilah
b_dahlilah,b_dahlilah_adj,,
b_mir_rukan,b_mir_rukan,,Mir Rukan
b_mir_rukan,b_mir_rukan_adj,,
b_guja,b_guja,,Guja
b_guja,b_guja_adj,,
b_vicalapura,b_vicalapura,,Vicalapura
b_vicalapura,b_vicalapura_adj,,
d_bhakkar,d_bhakkar,,Bhakkar
d_bhakkar,d_bhakkar_adj,,
c_bhakkar,PROV1606,,Bhakkar
c_bhakkar,c_bhakkar,,Bhakkar
c_bhakkar,c_bhakkar_adj,,Bhakkar
b_bhakkar,b_bhakkar,,Bhakkar
b_bhakkar,b_bhakkar_adj,,
b_larkana,b_larkana,,Larkana
b_larkana,b_larkana_adj,,
b_sarkara,b_sarkara,,Sarkara
b_sarkara,b_sarkara_adj,,
b_kalari,b_kalari,,Kalari
b_kalari,b_kalari_adj,,
b_sialkot,b_sialkot,,Sialkot
b_sialkot,b_sialkot_adj,,
c_aror,PROV1605,,Aror
c_aror,c_aror,,Aror
c_aror,c_aror_adj,,Aror
b_aror,b_aror,,Aror
b_aror,b_aror_adj,,
b_sukkur,b_sukkur,,Sukkur
b_sukkur,b_sukkur_adj,,
b_chak,b_chak,,Chak
b_chak,b_chak_adj,,
b_basmak,b_basmak,,Basmak
b_basmak,b_basmak_adj,,
c_rajanpur,PROV1609,,Rajanpur
c_rajanpur,c_rajanpur,,Rajanpur
c_rajanpur,c_rajanpur_adj,,Rajanpur
b_rajanpur,b_rajanpur,,Rajanpur
b_rajanpur,b_rajanpur_adj,,
b_rojhan,b_rojhan,,Rojhan
b_rojhan,b_rojhan_adj,,
b_adhiwala,b_adhiwala,,Adhiwala
b_adhiwala,b_adhiwala_adj,,
c_sibi,PROV1610,,Sibi
c_sibi,c_sibi,,Sibi
c_sibi,c_sibi_adj,,Sibi
b_sibi_india,b_sibi_india,,Sibi
b_sibi_india,b_sibi_india_adj,,
b_mastanj,b_mastanj,,Mastanj
b_mastanj,b_mastanj_adj,,
b_walishtan,b_walishtan,,Walishtan
b_walishtan,b_walishtan_adj,,
c_kandail,PROV1608,,Kandail
c_kandail,c_kandail,,Kandail
c_kandail,c_kandail_adj,,Kandail
b_kandail,b_kandail,,Kandail
b_kandail,b_kandail_adj,,
b_dadu,b_dadu,,Dadu
b_dadu,b_dadu_adj,,
b_quzdar,b_quzdar,,Quzdar
b_quzdar,b_quzdar_adj,,
b_bodein,b_bodein,,Bodein
b_bodein,b_bodein_adj,,
b_jhal,b_jhal,,Jhal
b_jhal,b_jhal_adj,,
k_punjab,k_punjab,,Punjab
k_punjab,k_punjab_adj,,
k_punjab,greek,,Indike
k_punjab,roman,,India
d_multan,d_multan,,Multan
d_multan,d_multan_adj,,
c_multan,PROV1615,,Multan
