#,T,I,T,L,E
K,E,Y
V,A,L,U,E
S,W,M,H
e_arabia,e_arabia,,Arabian Empire
e_arabia,e_arabia_adj,,Arabian
e_arabia,short_name,,yes
k_arabia,k_arabia,,Arabiyya
k_arabia,k_arabia_adj,,Arabiyyan
d_arabia_petrae,d_arabia_petrae,,Al-Jawf
d_arabia_petrae,d_arabia_petrae_adj,,Al-Jawfi
d_arabia_petrae,greek,,Arabia Petraea
d_arabia_petrae,roman,,Arabia Petraea
c_ar_ar,PROV716,,Al-Jawf
c_ar_ar,c_ar_ar,,
c_ar_ar,c_ar_ar_adj,,Shakian
b_maridfortress,b_maridfortress,,Marid
b_maridfortress,b_maridfortress_adj,,
b_sakakah,b_sakakah,,Sakakah
b_sakakah,b_sakakah_adj,,
b_dumat_al_jundal,b_dumat_al_jundal,,Dumat al-Jundal
b_dumat_al_jundal,b_dumat_al_jundal_adj,,
c_maan,PROV783,,Maan
c_maan,c_maan,,
c_maan,c_maan_adj,,Ma'anian
b_maan,b_maan,,Ma'an
b_maan,b_maan_adj,,
b_madyan,b_madyan,,Madyan
b_madyan,b_madyan_adj,,
d_amman,d_amman,,Bahrayn
d_amman,d_amman_adj,,Bahrayni
c_damman,PROV651,,Al-Qatif
c_damman,c_damman,,
c_damman,c_damman_adj,,Dammani
c_damman,assyrian,,Hatta
b_qatif,b_qatif,,Qatif
b_qatif,b_qatif_adj,,
b_qatif,assyrian,,Hatta
b_darin,b_darin,,Daryn
b_darin,b_darin_adj,,
b_zara,b_zara,,Zara
b_zara,b_zara_adj,,
b_safwan,b_safwan,,Safwan
b_safwan,b_safwan_adj,,
c_al_hasa,PROV652,,Al-Ahsa
c_al_hasa,c_al_hasa,,
c_al_hasa,c_al_hasa_adj,,Al Hasan
b_alhasa,b_alhasa,,Al Hasa
b_alhasa,b_alhasa_adj,,
b_uqair,b_uqair,,Uqair
b_uqair,b_uqair_adj,,
b_jowatha,b_jowatha,,Jowatha
b_jowatha,b_jowatha_adj,,
b_rumailah,b_rumailah,,Rumailah
b_rumailah,b_rumailah_adj,,
c_bahrein,PROV653,,Bahrayn
c_bahrein,c_bahrein,,
c_bahrein,c_bahrein_adj,,Bahreinian
b_awal,b_awal,,Awal
b_awal,b_awal_adj,,
b_manama,b_manama,,Manama
b_manama,b_manama_adj,,
b_khamis,b_khamis,,Khamis
b_khamis,b_khamis_adj,,
c_qatar,PROV784,,Qatar
c_qatar,c_qatar,,
c_qatar,c_qatar_adj,,
c_qatar,assyrian,,Beth Qatraye
b_murwab,b_murwab,,Murwab
b_murwab,b_murwab_adj,,
d_medina,d_medina,,Hijaz
d_medina,d_medina_adj,,Hijazi
c_hijaz,PROV720,,Al-Ula
c_hijaz,c_hijaz,,
c_hijaz,c_hijaz_adj,,Hijazian
b_al_ola,b_al_ola,,Al 'Ula
b_al_ola,b_al_ola_adj,,
b_tayma,b_tayma,,Tayma
b_tayma,b_tayma_adj,,
b_alwajh,b_alwajh,,Al-Wajh
b_alwajh,b_alwajh_adj,,
b_higra,b_higra,,Al-Hijr
b_higra,b_higra_adj,,
c_tabuk,PROV721,,Tabuk
c_tabuk,c_tabuk,,
c_tabuk,c_tabuk_adj,,Tabukian
b_tabuk,b_tabuk,,Tabuk
b_tabuk,b_tabuk_adj,,
b_alawnid,b_alawnid,,Al-Awnid
b_alawnid,b_alawnid_adj,,
b_muwaylih,b_muwaylih,,Muwaylih
b_muwaylih,b_muwaylih_adj,,
c_yanbu,PROV1283,,Yanbu
c_yanbu,c_yanbu,,
c_yanbu,c_yanbu_adj,,
b_yanbu,b_yanbu,,Yanbu
b_yanbu,b_yanbu_adj,,
b_aljar,b_aljar,,Al-Jar
b_aljar,b_aljar_adj,,
b_alhawra,b_alhawra,,Al-Hawra
b_alhawra,b_alhawra_adj,,
b_rabig,b_rabig,,Rabig
b_rabig,b_rabig_adj,,
c_medina,PROV718,,Madinah
c_medina,c_medina,,
c_medina,c_medina_adj,,Medinan
b_qalatmedina,b_qalatmedina,,Qal'at al-Madinah
b_qalatmedina,b_qalatmedina_adj,,
b_medina,b_medina,,Madinah
b_medina,b_medina_adj,,
b_khaybar,b_khaybar,,Khaybar
b_khaybar,b_khaybar_adj,,
b_madinabanusulaim,b_madinabanusulaim,,Madinah Banu Sulaim
b_madinabanusulaim,b_madinabanusulaim_adj,,
b_rabadha,b_rabadha,,Rabadha
