#TITLE,KEY,VALUE,SWMH
k_syria,k_syria,,al-Sham
k_syria,k_syria_adj,,Shami
k_syria,greek,,Oriens
k_syria,roman,,Oriens
d_aleppo,d_aleppo,,Qinnasrin
d_aleppo,d_aleppo_adj,,Qinnasrinan
d_aleppo,greek,,Syria Prima
d_aleppo,d_aleppo_adj_greek,,Syria Priman
d_aleppo,roman,,Syria Prima
d_aleppo,title_prefix,,JUND_OF
c_aleppo,PROV733,,Halab
c_aleppo,c_aleppo_adj,,Alepponian
c_aleppo,frankish,,Halapia
c_aleppo,c_aleppo_adj_frankish,,Halapian
c_aleppo,greek,,Berroia
c_aleppo,c_aleppo_adj_greek,,Berroian
c_aleppo,norman,,Halapia
c_aleppo,c_aleppo_adj_norman,,Halapian
c_aleppo,roman,,Beroea
b_aleppo,b_aleppo,,Halab
b_aleppo,b_aleppo_adj,,
b_aleppo,greek,,Berroia
b_aleppo,roman,,Beroea
b_zardana,b_zardana,,Zardana
b_zardana,b_zardana_adj,,
b_zardana,andalusian_arabic,,al-Atarib
b_zardana,bedouin_arabic,,al-Atarib
b_zardana,egyptian_arabic,,al-Atarib
b_zardana,frankish,,Cerepum
b_zardana,greek,,Cerepum
b_zardana,levantine_arabic,,al-Atarib
b_zardana,maghreb_arabic,,al-Atarib
b_zardana,norman,,Cerepum
b_zardana,roman,,Cerepum
b_zardana,sicilian_arabic,,al-Atarib
b_buzaa,b_buzaa,,Buza'a
b_buzaa,b_buzaa_adj,,
b_buzaa,frankish,,Puthaha
b_buzaa,norman,,Puthaha
b_aleppocastle,b_aleppocastle,,Qala'at al-Halab
b_aleppocastle,b_aleppocastle_adj,,
b_aleppocastle,frankish,,Château de Halapia
b_aleppocastle,greek,,Kastro Berroia
b_aleppocastle,norman,,Château de Halapia
b_aleppocastle,roman,,Castrum Beroea
b_qinnasrin,b_qinnasrin,,Qinnasrin
b_qinnasrin,b_qinnasrin_adj,,
b_qinnasrin,greek,,Chalkis
b_qinnasrin,roman,,Chalcis
b_khanasir,b_khanasir,,Anasartha
b_khanasir,b_khanasir_adj,,
b_khanasir,greek,,Anasartha
b_khanasir,roman,,Anasartha
c_manbij,PROV1240,,Manbij
c_manbij,c_manbij_adj,,Manbijan
c_manbij,frankish,,Mombech
c_manbij,c_manbij_adj_frankish,,Mombechan
c_manbij,greek,,Hierapolis
c_manbij,c_manbij_adj_greek,,Hierapolitan
c_manbij,norman,,Mombech
c_manbij,c_manbij_adj_norman,,Mombechan
c_manbij,roman,,Hierapolis
b_qalatnajm,b_qalatnajm,,Qal'at Najm
b_qalatnajm,b_qalatnajm_adj,,
b_qalatnajm,frankish,,Caeciliana
b_qalatnajm,norman,,Caeciliana
b_manbij,b_manbij,,Manbij
b_manbij,b_manbij_adj,,
