#TITLE;KEY;VALUE;SWMH
e_persia;e_persia;;Érán
e_persia;e_persia_adj;;Érání
k_persia;k_persia;;Pársa
k_persia;k_persia_adj;;Pársí
d_jebal;d_jebal;;Jebal
d_jebal;d_jebal_adj;;Jebalí
c_esfahan;PROV646;;Isfahan
c_esfahan;c_esfahan_adj;;Esfahanian
c_esfahan;assyrian;;Espahan
b_esfahan;b_esfahan;;Esfahan
b_esfahan;b_esfahan_adj;;
b_esfahan;assyrian;;Espahan
b_firuzan;b_firuzan;;Fírúzán
b_firuzan;b_firuzan_adj;;
b_qumisha;b_qumisha;;Qúmísha
b_qumisha;b_qumisha_adj;;
b_gulpayagan;b_gulpayagan;;Golpáyegán
b_gulpayagan;b_gulpayagan_adj;;
b_lurdagan;b_lurdagan;;Lordegán
b_lurdagan;b_lurdagan_adj;;
b_yazdikhwast;b_yazdikhwast;;Yazd-e-Khwást
b_yazdikhwast;b_yazdikhwast_adj;;
b_sarvistan;b_sarvistan;;Sarvestán
b_sarvistan;b_sarvistan_adj;;
c_qom;PROV659;;Qom
c_qom;c_qom_adj;;Qomian
b_qom;b_qom;;Qom
b_qom;b_qom_adj;;
b_aba-qom;b_aba-qom;;Ábe-Qom
b_aba-qom;b_aba-qom_adj;;
b_kashan;b_kashan;;Káshán
b_kashan;b_kashan_adj;;
b_natanz;b_natanz;;Natanz
b_natanz;b_natanz_adj;;
b_ardistan;b_ardistan;;Ardestán
b_ardistan;b_ardistan_adj;;
b_zuvara;b_zuvara;;Zaváre
b_zuvara;b_zuvara_adj;;
c_hamadan;PROV658;;Hamadan
c_hamadan;c_hamadan_adj;;Hamadian
c_hamadan;assyrian;;Beth Madaye
c_hamadan;greek;;Ekbatana
c_hamadan;roman;;Ecbatana
b_hamadan;b_hamadan;;Hamedán
b_hamadan;b_hamadan_adj;;
b_hamadan;assyrian;;Beth Madaye
b_hamadan;greek;;Ekbatana
b_hamadan;roman;;Ecbatana
b_bahar;b_bahar;;Bahár
b_bahar;b_bahar_adj;;
b_asadabad;b_asadabad;;Asadabád
b_asadabad;b_asadabad_adj;;
b_karadj;b_karadj;;Karadj
b_karadj;b_karadj_adj;;
b_saruk;b_saruk;;Sárúk
b_saruk;b_saruk_adj;;
c_igharayn;PROV689;;Igharayn
c_igharayn;c_igharayn_adj;;
c_igharayn;greek;;Antiokheia tes Medias
c_igharayn;roman;;Antiochia in Media
b_nihavand;b_nihavand;;Nihávand
b_nihavand;b_nihavand_adj;;
b_nihavand;greek;;Antiokheia tes Medias
b_nihavand;roman;;Antiochia in Media
b_burujerd;b_burujerd;;Borújerd
b_burujerd;b_burujerd_adj;;
b_lishtar;b_lishtar;;Líshtar
b_lishtar;b_lishtar_adj;;
b_khurramabad;b_khurramabad;;Khorramabád
b_khurramabad;b_khurramabad_adj;;
b_burdj;b_burdj;;Burdj
b_burdj;b_burdj_adj;;
d_khoar;d_khoar;;Khoar
d_khoar;d_khoar_adj;;Khoarí
c_rayy;PROV663;;Rayy
c_rayy;c_rayy_adj;;Rayyan
c_rayy;greek;;Ragai
c_rayy;roman;;Rhagae
b_rayy;b_rayy;;Ray
b_rayy;b_rayy_adj;;
b_rayy;greek;;Ragai
b_rayy;roman;;Rhagae
b_tehran;b_tehran;;Tehran
b_tehran;b_tehran_adj;;
b_varamin;b_varamin;;Varámin
b_varamin;b_varamin_adj;;
b_sava;b_sava;;Sava
b_sava;b_sava_adj;;
b_mazdakan;b_mazdakan;;Mazdakán
b_mazdakan;b_mazdakan_adj;;
b_damavand;b_damavand;;Damavand
b_damavand;b_damavand_adj;;
b_khuvar;b_khuvar;;Khuvár
b_khuvar;b_khuvar_adj;;
c_kumis;PROV660;;Kúmis
c_kumis;c_kumis_adj;;
b_damghan;b_damghan;;Dámghán
b_damghan;b_damghan_adj;;
b_ahuvan;b_ahuvan;;Áhúván
b_ahuvan;b_ahuvan_adj;;
b_ras-al-kalb;b_ras-al-kalb;;Ras-al-Kalb
b_ras-al-kalb;b_ras-al-kalb_adj;;
b_vanda;b_vanda;;Vanda
b_vanda;b_vanda_adj;;
b_simnan;b_simnan;;Semnán
b_simnan;b_simnan_adj;;
b_shalamba;b_shalamba;;Shalamba
b_shalamba;b_shalamba_adj;;
c_biyar;PROV907;;Biyâr
c_biyar;c_biyar_adj;;
b_biyar;b_biyar;;Biyár
b_biyar;b_biyar_adj;;
