#TITLE,KEY,VALUE,SWMH
k_turkestan_west,k_turkestan_west,,Aq Turkestán
k_turkestan_west,k_turkestan_west_adj,,Aq Turkestání
d_yaik,d_yaik,,Yaik
d_yaik,d_yaik_adj,,Yaiki
c_guryev,PROV618,,Saray-Jük
c_guryev,c_guryev_adj,,Atyrauer
b_little_sarai,b_little_sarai,,Saray-Jük
b_little_sarai,b_little_sarai_adj,,
b_little_sarai_aqtobe,b_little_sarai_aqtobe,,Aqtöbe
b_little_sarai_aqtobe,b_little_sarai_aqtobe_adj,,
b_atyrau,b_atyrau,,Atyrau
b_atyrau,b_atyrau_adj,,
c_yaik,PROV895,,Yaik
c_yaik,c_yaik_adj,,Yaikian
b_yaik,b_yaik,,Yaik
b_yaik,b_yaik_adj,,
b_illek,b_illek,,Jelik
b_illek,b_illek_adj,,
b_utva,b_utva,,Shingirlau
b_utva,b_utva_adj,,
c_aqtobe,PROV896,,Op
c_aqtobe,c_aqtobe_adj,,Aqtobian
b_or,b_or,,Op
b_or,b_or_adj,,
b_emba,b_emba,,Schem
b_emba,b_emba_adj,,
d_ustyurt,d_ustyurt,,Ust-Yurt
d_ustyurt,d_ustyurt_adj,,Ust-Yurt
c_ustyurt,PROV625,,Ust-Yurt
c_ustyurt,c_ustyurt_adj,,
b_ustyurt,b_ustyurt,,Ustyurt
b_ustyurt,b_ustyurt_adj,,
c_buzachi,PROV621,,Buzachi
c_buzachi,c_buzachi_adj,,
b_koshagyl,b_koshagyl,,Koshagyl
b_koshagyl,b_koshagyl_adj,,
c_mangyshlak,PROV624,,Mangyshlak
c_mangyshlak,c_mangyshlak_adj,,Mangyshlakian
b_zhetybay,b_zhetybay,,Zhetybay
b_zhetybay,b_zhetybay_adj,,
b_munayshi,b_munayshi,,Munayshi
b_munayshi,b_munayshi_adj,,
c_karasu,PROV1549,,Karasu
c_karasu,c_karasu_adj,,
b_karasu,b_karasu,,Karasu
b_karasu,b_karasu_adj,,
d_dasht-i-qipchaq,d_dasht-i-qipchaq,,Dasht-e-Qipchaq
d_dasht-i-qipchaq,d_dasht-i-qipchaq_adj,,Dasht-e-Qipchaqí
c_balkhash,PROV1579,,Balkhash
c_balkhash,c_balkhash_adj,,Balkhashi
b_balqash,b_balqash,,Balqash
b_balqash,b_balqash_adj,,
b_gulshat,b_gulshat,,Gulshat
b_gulshat,b_gulshat_adj,,
b_saryshagan,b_saryshagan,,Saryshagan
b_saryshagan,b_saryshagan_adj,,
c_sarisu,PROV887,,Sarisu
c_sarisu,c_sarisu_adj,,
