#TITLE,KEY,VALUE,SWMH
k_turkestan_east,k_turkestan_east,,Mavi Turkestán
k_turkestan_east,k_turkestan_east_adj,,Mavi Turkestání
d_kashgar,d_kashgar,,Kashgar
d_kashgar,d_kashgar_adj,,Kashgarí
c_naryn,PROV1566,,Naryn
c_naryn,c_naryn,,
c_naryn,c_naryn_adj,,
b_naryn,b_naryn,,Naryn
b_naryn,b_naryn_adj,,
c_kashgar,PROV1567,,Kashgar
c_kashgar,c_kashgar,,
c_kashgar,c_kashgar_adj,,
b_kashgar,b_kashgar,,Kashgar
b_kashgar,b_kashgar_adj,,
b_ulugqat,b_ulugqat,,Ulugqat
b_ulugqat,b_ulugqat_adj,,
b_uksalur,b_uksalur,,Kizilsu
b_uksalur,b_uksalur_adj,,
b_pichan,b_pichan,,Yarkand
b_pichan,b_pichan_adj,,
b_kizilsu,b_kizilsu,,Kizilsu
b_kizilsu,b_kizilsu_adj,,
d_kucha,d_kucha,,Kucha
d_kucha,d_kucha_adj,,Kucha
c_aqsu,PROV1568,,Aqsu
c_aqsu,c_aqsu,,
c_aqsu,c_aqsu_adj,,
b_aqsu,b_aqsu,,Aqsu
b_aqsu,b_aqsu_adj,,
b_uchaqsu,b_uchaqsu,,Uch
b_uchaqsu,b_uchaqsu_adj,,
b_tumshuk,b_tumshuk,,Tumshuk
b_tumshuk,b_tumshuk_adj,,
b_kalpin,b_kalpin,,Kalpin
b_kalpin,b_kalpin_adj,,
b_jam,b_jam,,Jam
b_jam,b_jam_adj,,
c_kucha,PROV1569,,Kucha
c_kucha,c_kucha,,
c_kucha,c_kucha_adj,,
b_kucha,b_kucha,,Kucha
b_kucha,b_kucha_adj,,
b_kush-tura,b_kush-tura,,Kush-Tura
b_kush-tura,b_kush-tura_adj,,
b_kizil,b_kizil,,Kizil
b_kizil,b_kizil_adj,,
b_tarim,b_tarim,,Tarim
b_tarim,b_tarim_adj,,
b_bal,b_bal,,Bal
b_bal,b_bal_adj,,
c_qarashahr,PROV1570,,Qarashahr
c_qarashahr,c_qarashahr,,
c_qarashahr,c_qarashahr_adj,,
b_qarashahr,b_qarashahr,,Qarashahr
b_qarashahr,b_qarashahr_adj,,
b_korla,b_korla,,Korla
b_korla,b_korla_adj,,
b_ushak-tal,b_ushak-tal,,Ushak-tal
b_ushak-tal,b_ushak-tal_adj,,
d_khotan,d_khotan,,Khotan
d_khotan,d_khotan_adj,,Khotanese
d_khotan,khotanese,,Hvam
c_khotan,PROV1580,,Khotan
c_khotan,c_khotan,,
c_khotan,c_khotan_adj,,
c_khotan,khotanese,,Hvam
b_khotan,b_khotan,,Khotan
b_khotan,b_khotan_adj,,
b_khotan,khotanese,,Hvam
b_keriya,b_keriya,,Keriya
b_keriya,b_keriya_adj,,
b_guma,b_guma,,Guma
b_guma,b_guma_adj,,
b_chadota,b_chadota,,Chadota
b_chadota,b_chadota_adj,,
b_calmadana,b_calmadana,,Calmadana
b_calmadana,b_calmadana_adj,,
